"font-d-16,""rank-sup_rankSup__TNqsa"",""race-progressive-ranking_linkUnderline__9ReuG"",""race-progressive-ranking_linkUnderline__9ReuG href"",""font-d-16 2"",""font-d-12"",""font-d-16 3"",""font-d-12 2"",""font-d-16 4"",""font-d-16 5"",""font-d-16 6"",""font-d-16 7"""
"29,""to"",""Are FETVEIT"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/199"",""199"",""NO"",""20-34M"",""Team Ludde"",""11"",""27"",""09:25:21"",""02:14:52"""
"30,""to"",""Gustavo JIMENEZ ROSILLO"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/43"",""43"",""EC"",""45-49M"",""Factor Runners"",""4"",""28"",""09:26:44"",""02:16:15"""
"31,""to"",""Ramon ROSSELLO PONS"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/258"",""258"",""ES"",""20-34M"",""TRAMUNTANA Esports"",""12"",""29"",""09:26:52"",""02:16:23"""
"32,""to"",""JOSE ANTONIO ALGUETA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/56"",""56"",""ES"",""50-54M"",""Asamun"",""2"",""30"",""09:27:49"",""02:17:20"""
"33,""to"",""Juan Jose FOULQUIE PADILLA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/105"",""105"",""ES"",""40-44M"",""CALIMA TRIATLON FUERTEVENTURA"",""6"",""31"",""09:28:14"",""02:17:45"""
"34,""to"",""Jessica TIPAN GUTIERREZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/65"",""65"",""EC"",""35-39F"",""Esportiu Penedés"",""1"",""3"",""09:28:45"",""02:18:16"""
"35,""to"",""Jose Eduardo NAVARRO MENDOZA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/383"",""383"",""ES"",""40-44M"",""ADONIEL TRAIL"",""7"",""32"",""09:29:58"",""02:19:29"""
"36,""to"",""Juan Francisco PEREZ VELARDE"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/198"",""198"",""ES"",""45-49M"","""",""5"",""33"",""09:32:49"",""02:22:20"""
"37,""to"",""RUBEN RODRIGUEZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1302"",""1302"",""ES"",""35-39M"",""Haria Trail Team HTT"",""8"",""34"",""09:36:05"",""02:25:36"""
"38,""to"",""CRISTIAN ALLES"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1357"",""1357"",""DE"",""40-44M"",""engelhorn sports team"",""8"",""35"",""09:36:34"",""02:26:05"""
"39,""to"",""Carlos GUTIERREZ MARTINEZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/90"",""90"",""ES"",""35-39M"",""ALEX CAMPOS TEAM"",""9"",""36"",""09:36:41"",""02:26:12"""
"40,""to"",""Marian WILKEN"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/75"",""75"",""DE"",""35-39M"",""Team laufbar"",""10"",""37"",""09:37:23"",""02:26:54"""
"41,""to"",""Nayeli DE LA TORRE SEGURA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/24"",""24"",""MX"",""20-34F"",""Buff México"",""3"",""4"",""09:38:28"",""02:27:59"""
"42,""to"",""PEDRO MIGUEL PERERA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1256"",""1256"",""ES"",""55-59M"","""",""1"",""38"",""09:38:42"",""02:28:13"""
"43,""to"",""Felix KUSCHMIERZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/344"",""344"",""DE"",""20-34M"",""TuS Lichterfelde"",""13"",""39"",""09:39:39"",""02:29:10"""
"44,""to"",""Kamil DĄBROWSKI"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/68"",""68"",""PL"",""20-34M"",""Marcin Świerc Team / La Sportiva Team Polska"",""14"",""40"",""09:41:07"",""02:30:38"""
"45,""to"",""Rory BURKE"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/151"",""151"",""IE"",""20-34M"","""",""15"",""41"",""09:41:38"",""02:31:09"""
"46,""to"",""Marc PUIG AMIEL"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/61"",""61"",""ES"",""35-39M"",""Fast Competició"",""11"",""42"",""09:42:36"",""02:32:07"""
"47,""to"",""Mélanie DELASOIE"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/16"",""16"",""CH"",""20-34F"","""",""4"",""5"",""09:42:53"",""02:32:24"""
"48,""to"",""Iñigo URANGA CALVO"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/159"",""159"",""ES"",""35-39M"",""Independiente"",""12"",""43"",""09:44:28"",""02:33:59"""
"49,""to"",""Noé FERNANDEZ MARTINEZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/83"",""83"",""ES"",""35-39M"",""CD RELIEVE"",""13"",""44"",""09:45:56"",""02:35:27"""
"50,""to"",""Sebastien BUFFARD"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/39"",""39"",""FR"",""40-44M"","""",""9"",""45"",""09:50:06"",""02:39:37"""
"51,""to"",""Jonathan PONCE ALMEIDA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/86"",""86"",""ES"",""20-34M"",""C. D. HILERA"",""16"",""46"",""09:51:16"",""02:40:47"""
"52,""to"",""Pau BENEJAM COCA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/123"",""123"",""ES"",""20-34M"",""MALLORCA TRAIL"",""17"",""47"",""09:53:12"",""02:42:43"""
"53,""to"",""Toni BEDIA CIRIO"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/136"",""136"",""ES"",""45-49M"",""C. A. MONTORNÈS"",""6"",""48"",""09:54:18"",""02:43:49"""
"54,""to"",""Dionisio MAHEDERO CORTES"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/145"",""145"",""ES"",""50-54M"",""PATERNA RUNNERS"",""3"",""49"",""09:55:19"",""02:44:50"""
"55,""to"",""MANUEL SANSEGUNDO"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1311"",""1311"",""ES"",""35-39M"","""",""14"",""50"",""09:57:08"",""02:46:39"""
"56,""to"",""Cristian GUERRA PEREZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/104"",""104"",""ES"",""40-44M"",""CD MONTAÑA VERGARA"",""10"",""51"",""09:57:23"",""02:46:54"""
"57,""to"",""Andres GARCIA RODRIGUEZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/115"",""115"",""ES"",""20-34M"",""Club Atletismo Pravia"",""18"",""52"",""09:57:41"",""02:47:12"""
"58,""to"",""Louis-Christophe MOISSONNIER"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/236"",""236"",""FR"",""50-54M"","""",""4"",""53"",""09:57:56"",""02:47:27"""
"59,""to"",""Cordis HALL"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/36"",""36"",""US"",""20-34M"",""adidas TERREX"",""19"",""54"",""09:58:17"",""02:47:48"""
"60,""to"",""Bastien CHAMONARD"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/494"",""494"",""FR"",""20-34M"","""",""20"",""55"",""09:58:30"",""02:48:01"""
"61,""to"",""Sebastien DOS SANTOS"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/92"",""92"",""FR"",""40-44M"",""SPORT2000 Montbrison / Sportinlove.com"",""11"",""56"",""09:59:24"",""02:48:55"""
"62,""to"",""Jesus CAMPANA PARADA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/204"",""204"",""ES"",""20-34M"",""TRIBU TRAIL"",""21"",""57"",""09:59:25"",""02:48:56"""
"63,""to"",""Dominique JEAN"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/88"",""88"",""FR"",""35-39M"",""Domitrail"",""15"",""58"",""09:59:34"",""02:49:05"""
"64,""to"",""Sergi VAREA AGUILELLA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/194"",""194"",""ES"",""20-34M"",""Born to Run"",""22"",""59"",""10:00:23"",""02:49:54"""
"65,""to"",""Daniel GARCIA PALAZON"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/166"",""166"",""ES"",""45-49M"",""DEMECASAS PASICO A PASICO DE ORIHUELA"",""7"",""60"",""10:03:14"",""02:52:45"""
"66,""to"",""Pedro RIZOS CALLEJAS"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1075"",""1075"",""ES"",""45-49M"",""Naranjitoteam"",""8"",""61"",""10:04:07"",""02:53:38"""
"67,""to"",""Serapio NACAR ARROYO"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/619"",""619"",""ES"",""40-44M"",""C.D laguayro"",""12"",""62"",""10:04:08"",""02:53:39"""
"68,""to"",""Fali ALCAIDE RIVAS"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/146"",""146"",""ES"",""45-49M"","""",""9"",""63"",""10:04:24"",""02:53:55"""
"69,""to"",""Sergio BLAZQUEZ MARTINEZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/82"",""82"",""ES"",""20-34M"",""Goierri Garaia Ekuon"",""23"",""64"",""10:06:52"",""02:56:23"""
"70,""to"",""Oliver ALTORFER"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/192"",""192"",""CH"",""50-54M"","""",""5"",""65"",""10:07:29"",""02:57:00"""
"71,""to"",""DAMIAN HAMPEN"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/230"",""230"",""DE"",""35-39M"","""",""16"",""66"",""10:07:52"",""02:57:23"""
"72,""to"",""Daniel Eduardo DEL PUERTO COSENZA"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1079"",""1079"",""UY"",""50-54M"",""uruguay"",""6"",""67"",""10:07:59"",""02:57:30"""
"73,""to"",""Khalid ALQHATANI"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1099"",""1099"",""QA"",""40-44M"","""",""13"",""68"",""10:09:21"",""02:58:52"""
"74,""to"",""Mario MARTINEZ SERON"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/361"",""361"",""GB"",""45-49M"","""",""10"",""69"",""10:09:49"",""02:59:20"""
