"tablescraper-selected-row,""tablescraper-selected-row 2"",""tablescraper-selected-row href"",""tablescraper-selected-row src"",""tablescraper-selected-row 3"",""tablescraper-selected-row 4"",""tablescraper-selected-row 5"",""tablescraper-selected-row 6"",""tablescraper-selected-row src 2"""
"25,""Zemanik Jan"",""https://itra.run/RunnerSpace/Zemanik.Jan/200393"",""https://itra.run/Files/Photos/pic80853_351da832.jpg"",""8:35:02"",""29"",""H"",""CZE"",""https://itra.run/images/CountryFlags/cz.svg"""
"26,""KIMMEL Megan"",""https://itra.run/RunnerSpace/KIMMEL.Megan/118129"",""https://itra.run/images/member-pics/default.jpg"",""8:35:03"",""39"",""F"",""USA"",""https://itra.run/images/CountryFlags/us.svg"""
"27,""LAIR Alvin"",""https://itra.run/RunnerSpace/LAIR.Alvin/1041059"",""https://itra.run/Files/Photos/8ac1825fb0844e9cb05d4679b55a1005.jpg"",""8:39:25"",""21"",""H"",""FRA"",""https://itra.run/images/CountryFlags/fr.svg"""
"28,""Kadi Elias"",""https://itra.run/RunnerSpace/Kadi.Elias/1762287"",""https://itra.run/images/member-pics/default.jpg"",""8:45:04"",""23"",""H"",""FRA"",""https://itra.run/images/CountryFlags/fr.svg"""
"29,""SANCHO MARTINEZ Roberto"",""https://itra.run/RunnerSpace/SANCHO%20MARTINEZ.Roberto/271619"",""https://itra.run/images/member-pics/default.jpg"",""8:45:51"",""45"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"30,""LIND Cody"",""https://itra.run/RunnerSpace/LIND.Cody/2667843"",""https://itra.run/Files/Photos/pic242977_cdabb8c8.jpg"",""8:47:02"",""24"",""H"",""USA"",""https://itra.run/images/CountryFlags/us.svg"""
"31,""Montagnat Rentier Alexis"",""https://itra.run/RunnerSpace/Montagnat%20Rentier.Alexis/2521"",""https://itra.run/images/member-pics/default.jpg"",""8:47:47"",""34"",""H"",""SUI"",""https://itra.run/images/CountryFlags/ch.svg"""
"32,""BERNARDO Ivan"",""https://itra.run/RunnerSpace/BERNARDO.Ivan/736386"",""https://itra.run/Files/Photos/pic258727_cc136e59.jpg"",""8:52:18"",""25"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"33,""OVALLE Luis"",""https://itra.run/RunnerSpace/OVALLE.Luis/943825"",""https://itra.run/images/member-pics/default.jpg"",""8:52:39"",""34"",""H"",""COL"",""https://itra.run/images/CountryFlags/co.svg"""
"34,""MITYAEVA Ekaterina"",""https://itra.run/RunnerSpace/MITYAEVA.Ekaterina/480410"",""https://itra.run/Files/Photos/pic23227_d75293a8.jpg"",""8:53:03"",""30"",""F"",""RUS"",""https://itra.run/images/CountryFlags/ru.svg"""
"35,""RODRIGUEZ RODRIGUEZ CARLOS"",""https://itra.run/RunnerSpace/RODRIGUEZ%20RODRIGUEZ.CARLOS/2290753"",""https://itra.run/Files/Photos/pic213765_eca0a1ac.jpg"",""8:55:39"",""41"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"36,""BERGLUND Kristin"",""https://itra.run/RunnerSpace/BERGLUND.Kristin/193468"",""https://itra.run/images/member-pics/default.jpg"",""8:58:10"",""35"",""F"",""SWE"",""https://itra.run/images/CountryFlags/se.svg"""
"37,""Desco Elisa"",""https://itra.run/RunnerSpace/Desco.Elisa/329262"",""https://itra.run/Files/Photos/pic228981_1d27a798.jpg"",""9:00:54"",""37"",""F"",""ITA"",""https://itra.run/images/CountryFlags/it.svg"""
"38,""HAWGOOD Emily"",""https://itra.run/RunnerSpace/HAWGOOD.Emily/1878369"",""https://itra.run/Files/Photos/2aab9dfe2e5e4de5ba13170e966f4440.jpg"",""9:01:17"",""25"",""F"",""GBR"",""https://itra.run/images/CountryFlags/gb.svg"""
"39,""BRUYAS Camille"",""https://itra.run/RunnerSpace/BRUYAS.Camille/388952"",""https://itra.run/Files/Photos/pic26931_ba9938cc.jpg"",""9:06:57"",""27"",""F"",""FRA"",""https://itra.run/images/CountryFlags/fr.svg"""
"40,""GOMEZ SIMON Diego"",""https://itra.run/RunnerSpace/GOMEZ%20SIMON.Diego/272560"",""https://itra.run/images/member-pics/default.jpg"",""9:09:51"",""34"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"41,""REYES Agustin"",""https://itra.run/RunnerSpace/REYES.Agustin/226273"",""https://itra.run/images/member-pics/default.jpg"",""9:10:28"",""39"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"42,""RODRIGUES DA COSTA Julio"",""https://itra.run/RunnerSpace/RODRIGUES%20DA%20COSTA.Julio/492386"",""https://itra.run/images/member-pics/default.jpg"",""9:11:18"",""34"",""H"",""AND"",""https://itra.run/images/CountryFlags/ad.svg"""
"43,""SCHEFER Nico"",""https://itra.run/RunnerSpace/SCHEFER.Nico/116140"",""https://itra.run/Files/Photos/pic10862_da3f664c.jpg"",""9:13:23"",""38"",""H"",""SUI"",""https://itra.run/images/CountryFlags/ch.svg"""
"44,""LJUNGDAHL Sebastian"",""https://itra.run/RunnerSpace/LJUNGDAHL.Sebastian/1522639"",""https://itra.run/images/member-pics/default.jpg"",""9:14:16"",""31"",""H"",""SWE"",""https://itra.run/images/CountryFlags/se.svg"""
"45,""ELLIOTT Morgan"",""https://itra.run/RunnerSpace/ELLIOTT.Morgan/644730"",""https://itra.run/images/member-pics/default.jpg"",""9:15:51"",""27"",""H"",""USA"",""https://itra.run/images/CountryFlags/us.svg"""
"46,""LOPEZ Maximiliano"",""https://itra.run/RunnerSpace/LOPEZ.Maximiliano/377455"",""https://itra.run/Files/Photos/pic85135_2cf17d62.jpg"",""9:15:52"",""35"",""H"",""ARG"",""https://itra.run/images/CountryFlags/ar.svg"""
"47,""gubert Marco"",""https://itra.run/RunnerSpace/gubert.Marco/880371"",""https://itra.run/Files/Photos/pic123007_aedc91b3.jpg"",""9:17:16"",""31"",""H"",""ITA"",""https://itra.run/images/CountryFlags/it.svg"""
"48,""SPERGER Eva-Maria"",""https://itra.run/RunnerSpace/SPERGER.Eva-Maria/708080"",""https://itra.run/Files/Photos/pic25815_806f611e.jpg"",""9:19:37"",""40"",""F"",""GER"",""https://itra.run/images/CountryFlags/de.svg"""
"49,""URBINA Luis"",""https://itra.run/RunnerSpace/URBINA.Luis/716004"",""https://itra.run/Files/Photos/pic132595_ef869871.jpg"",""9:22:25"",""38"",""H"",""MEX"",""https://itra.run/images/CountryFlags/mx.svg"""
"50,""BARTRINA Carlos"",""https://itra.run/RunnerSpace/BARTRINA.Carlos/447268"",""https://itra.run/images/member-pics/default.jpg"",""9:22:42"",""39"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"51,""JONSSON Andre"",""https://itra.run/RunnerSpace/JONSSON.Andre/335551"",""https://itra.run/Files/Photos/pic55813_260904ff.jpg"",""9:24:33"",""34"",""H"",""SWE"",""https://itra.run/images/CountryFlags/se.svg"""
"52,""ZORROZA IRIONDO Maria"",""https://itra.run/RunnerSpace/ZORROZA%20IRIONDO.Maria/531504"",""https://itra.run/images/member-pics/default.jpg"",""9:26:44"",""31"",""F"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"53,""GONZALEZ Inaki"",""https://itra.run/RunnerSpace/GONZALEZ.Inaki/1073811"",""https://itra.run/images/member-pics/default.jpg"",""9:27:11"",""32"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"54,""AGUILERA JORDI"",""https://itra.run/RunnerSpace/AGUILERA.JORDI/206666"",""https://itra.run/images/member-pics/default.jpg"",""9:27:50"",""40"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
