"my-table_cell__z__zN,""my-table_cell__z__zN 2"",""link_link__96ppl"",""link_link__96ppl href"",""my-table_cell__z__zN 3"",""my-table_cell__z__zN 4"",""my-table_cell__z__zN 5"""
"46,""09:12:23"",""Emilio RAMOS-RODRIGUEZ"",""https://utmb.world/en/runner/366793.emilio.ramosrodriguez"",""Spain"",""men"",""35-39"""
"47,""09:12:43"",""Alfredo GIL-GARCIA"",""https://utmb.world/en/runner/13244.alfredo.gilgarcia"",""Spain"",""men"",""35-39"""
"48,""09:13:08"",""Alister GARDNER"",""https://utmb.world/en/runner/34088.alister.gardner"",""Canada"",""men"",""35-39"""
"49,""09:13:34"",""Ekaterina MITYAEVA"",""https://utmb.world/en/runner/480410.ekaterina.mityaeva"",""Russia"",""women"",""20-34"""
"50,""09:14:57"",""Patrick CARON"",""https://utmb.world/en/runner/909637.patrick.caron"",""United States"",""men"",""20-34"""
"51,""09:18:13"",""Angel CARULLA"",""https://utmb.world/en/runner/413051.angel.carulla"",""Spain"",""men"",""40-44"""
"52,""09:19:54"",""Roberto MARRERO PEREZ"",""https://utmb.world/en/runner/12634.roberto.marreroperez"",""Spain"",""men"",""40-44"""
"53,""09:19:59"",""Angel ORTEGA-SANTANA"",""https://utmb.world/en/runner/11797.angel.ortegasantana"",""Spain"",""men"",""45-49"""
"54,""09:21:45"",""Oscar MONCLUS"",""https://utmb.world/en/runner/732447.oscar.monclus"",""Spain"",""men"",""35-39"""
"55,""09:21:57"",""Jabin PEREZ GONZALEZ"",""https://utmb.world/en/runner/272604.jabin.perezgonzalez"",""Spain"",""men"",""20-34"""
"56,""09:22:42"",""Anna Mae FLYNN"",""https://utmb.world/en/runner/621036.annamae.flynn"",""United States"",""women"",""20-34"""
"57,""09:24:42"",""Pablo RAMOS-REYES"",""https://utmb.world/en/runner/366814.pablo.ramosreyes"",""Spain"",""men"",""20-34"""
"58,""09:26:00"",""Roberto GARCIA-FERNANDEZ"",""https://utmb.world/en/runner/646629.roberto.garciafernandez"",""Spain"",""men"",""35-39"""
"59,""09:26:22"",""Melvyn BRACON"",""https://utmb.world/en/runner/669458.melvyn.bracon"",""France"",""men"",""20-34"""
"60,""09:27:30"",""Julien VERHOLLE"",""https://utmb.world/en/runner/341731.julien.verholle"",""France"",""men"",""20-34"""
"61,""09:27:50"",""Ivan RODRIGUEZ"",""https://utmb.world/en/runner/456396.ivan.rodriguez"",""Spain"",""men"",""40-44"""
"62,""09:28:15"",""Shaun STEWART"",""https://utmb.world/en/runner/510669.shaun.stewart"",""Ireland"",""men"",""20-34"""
"63,""09:28:51"",""Lluis BAELLA"",""https://utmb.world/en/runner/206905.lluis.baella"",""Spain"",""men"",""45-49"""
"64,""09:28:56"",""Jorge-Vidal HERRERA-ORTEGA"",""https://utmb.world/en/runner/1002064.jorgevidal.herreraortega"",""Spain"",""men"",""40-44"""
"65,""09:28:58"",""Andres SANTANA-FERNANDEZ"",""https://utmb.world/en/runner/160750.andres.santanafernandez"",""Spain"",""men"",""35-39"""
"66,""09:30:34"",""Andre VOLLAN JOHANSSON"",""https://utmb.world/en/runner/1421847.andre.vollanjohansson"",""Sweden"",""men"",""35-39"""
"67,""09:30:50"",""Charlie BUTCHER"",""https://utmb.world/en/runner/687980.charlie.butcher"",""United Kingdom"",""men"",""35-39"""
"68,""09:31:52"",""Rafael FERNANDEZ MENA"",""https://utmb.world/en/runner/1291875.rafael.fernandezmena"",""Spain"",""men"",""20-34"""
"69,""09:32:06"",""Jan BARTAS"",""https://utmb.world/en/runner/297510.jan.bartas"",""Czech Republic"",""men"",""35-39"""
"70,""09:32:07"",""Peter FANKHAUSER"",""https://utmb.world/en/runner/479149.peter.fankhauser"",""Austria"",""men"",""40-44"""
"71,""09:32:52"",""Victor BAYONA"",""https://utmb.world/en/runner/126250.victor.bayona"",""Spain"",""men"",""20-34"""
"72,""09:33:35"",""Manuel GONZALEZ-FRANCISCO"",""https://utmb.world/en/runner/452077.manuel.gonzalezfrancisco"",""Spain"",""men"",""40-44"""
"73,""09:33:35"",""Pedro Miguel PERERA MAGDALENA"",""https://utmb.world/en/runner/11799.pedromiguel.pereramagdalena"",""Spain"",""men"",""50-54"""
"74,""09:33:54"",""Ed MELBOURNE"",""https://utmb.world/en/runner/156375.ed.melbourne"",""United Kingdom"",""men"",""35-39"""
"75,""09:34:33"",""Jose Maria GARCIA LOPEZ"",""https://utmb.world/en/runner/1628253.josemaria.garcialopez"",""Spain"",""men"",""40-44"""
"76,""09:35:03"",""Jaume SALOM-PARETS"",""https://utmb.world/en/runner/443827.jaume.salomparets"",""Spain"",""men"",""40-44"""
"77,""09:36:21"",""Adrian SANTIAGO-ANDRES"",""https://utmb.world/en/runner/172313.adrian.santiagoandres"",""Spain"",""men"",""45-49"""
"78,""09:36:27"",""Antonio ROCAMORA"",""https://utmb.world/en/runner/563769.antonio.rocamora"",""Spain"",""men"",""35-39"""
"79,""09:36:47"",""Rafael CABANILLAS CARRILLO"",""https://utmb.world/en/runner/412008.rafael.cabanillascarrillo"",""Spain"",""men"",""20-34"""
"80,""09:37:00"",""Alan SICART"",""https://utmb.world/en/runner/1719153.alan.sicart"",""Italy"",""men"",""20-34"""
"81,""09:38:32"",""Javier BOTRAN DE LEON"",""https://utmb.world/en/runner/551020.javier.botrandeleon"",""Spain"",""men"",""20-34"""
"82,""09:38:44"",""Peter KIENZL"",""https://utmb.world/en/runner/322973.peter.kienzl"",""Italy"",""men"",""40-44"""
"83,""09:39:16"",""Jose-Manuel RODRIGUEZ-GOMEZ"",""https://utmb.world/en/runner/391521.josemanuel.rodriguezgomez"",""Spain"",""men"",""40-44"""
"84,""09:40:21"",""Laro DIAZ SALAM"",""https://utmb.world/en/runner/376345.laro.diazsalam"",""Spain"",""men"",""40-44"""
"85,""09:42:48"",""Hector GRANADO VILLACE"",""https://utmb.world/en/runner/208414.hector.granadovillace"",""Spain"",""men"",""35-39"""
"86,""09:43:23"",""Juan SUAREZ"",""https://utmb.world/en/runner/1262221.juan.suarez"",""Spain"",""men"",""20-34"""
"87,""09:43:45"",""Erik SORENSON"",""https://utmb.world/en/runner/680583.erik.sorenson"",""United States"",""men"",""20-34"""
"88,""09:46:14"",""Jose Manuel VIVES"",""https://utmb.world/en/runner/633931.josemanuel.vives"",""Chile"",""men"",""20-34"""
"89,""09:48:37"",""Tim HÖME"",""https://utmb.world/en/runner/722067.tim.home"",""Germany"",""men"",""20-34"""
"90,""09:48:46"",""Manuel Alexis MARTÍN LORENZO"",""https://utmb.world/en/runner/375547.manuelalexis.martinlorenzo"",""Spain"",""men"",""20-34"""
"91,""09:48:46"",""José Jonathan GUILLEN DELGADO"",""https://utmb.world/en/runner/1669539.josejonathan.guillendelgado"",""Spain"",""men"",""35-39"""
"92,""09:49:14"",""Oscar MARIN"",""https://utmb.world/en/runner/423153.oscar.marin"",""Spain"",""men"",""35-39"""
"93,""09:49:41"",""Lonan O FARRELL"",""https://utmb.world/en/runner/1710257.lonan.ofarrell"",""Ireland"",""men"",""35-39"""
"94,""09:52:37"",""Angel VILLEN"",""https://utmb.world/en/runner/234881.angel.villen"",""Spain"",""men"",""35-39"""
"95,""09:52:49"",""Pedro PEREZ-PALENZUELA"",""https://utmb.world/en/runner/380952.pedro.perezpalenzuela"",""Spain"",""men"",""35-39"""
"96,""09:53:28"",""Jaime-Jose GOMEZ-CACERES"",""https://utmb.world/en/runner/452056.jaimejose.gomezcaceres"",""Spain"",""men"",""50-54"""
"97,""09:54:46"",""Simone SCHWARZ"",""https://utmb.world/en/runner/773624.simone.schwarz"",""Germany"",""women"",""35-39"""
"98,""09:56:10"",""Dario SANMIGUEL-CERVERA"",""https://utmb.world/en/runner/32040.dario.sanmiguelcervera"",""Spain"",""men"",""40-44"""
"99,""09:57:59"",""Sergio AMAYA"",""https://utmb.world/en/runner/2052269.sergio.amaya"",""Spain"",""men"",""35-39"""
"100,""09:58:18"",""David ROBINETTE"",""https://utmb.world/en/runner/1640087.david.robinette"",""United Kingdom"",""men"",""20-34"""
"101,""09:59:49"",""Ivan CABANAS"",""https://utmb.world/en/runner/1873613.ivan.cabanas"",""Spain"",""men"",""40-44"""
