"80,""329"",""Sandra MORENO SANTIAGO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705228246&method=ResAtletaUid"",""7-F"",""3 VETA-F"",""VETA"",""C.D Bichillorunner Canarias"",""18:34:44"",""11:29"",""07:04:57"",""14004"",""F"",""""";
"81,""260"",""Rubén LEZCANO RIVERO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535745635&method=ResAtletaUid"",""74"",""32 VETA-M"",""VETA"",""CARUCAT"",""18:34:58"",""11:29"",""07:05:11"",""14006"",""M"",""""";
"82,""176"",""David GONZÁLEZ DELGADO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705237539&method=ResAtletaUid"",""75"",""33 VETA-M"",""VETA"",""TRIABONA"",""18:35:53"",""11:30"",""07:06:06"",""14006"",""M"",""47 LOC-M""";
"83,""261"",""Yeray Martin LINARES MORENO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535747110&method=ResAtletaUid"",""76"",""38 SEN-M"",""SEN"",""PLATANO TRAIL"",""18:35:53"",""11:30"",""07:06:06"",""14008"",""M"",""48 LOC-M""";
"84,""327"",""Juan MORENO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1469638125833&method=ResAtletaUid"",""77"",""34 VETA-M"",""VETA"",""Espartans"",""18:38:16"",""11:31"",""07:08:29"",""14006"",""M"",""""";
"85,""198"",""Lorenzo David GONZALEZ RODRIGUEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705227862&method=ResAtletaUid"",""78"",""39 SEN-M"",""SEN"",""TENERIFE MAMUT TRAIL"",""18:38:22"",""11:31"",""07:08:35"",""14008"",""M"",""49 LOC-M""";
"86,""463"",""Sergei SURMONIN"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1487884341757&method=ResAtletaUid"",""79"",""35 VETA-M"",""VETA"",""-"",""18:38:26"",""11:31"",""07:08:39"",""14006"",""M"",""""";
"87,""451"",""Carlos Antero  SIMÓN LENTINI"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1487884347407&method=ResAtletaUid"",""80"",""40 SEN-M"",""SEN"",""-"",""18:38:37"",""11:31"",""07:08:50"",""14008"",""M"",""4 MIL-M";"50 LOC-M"""
"88,""154"",""Antoni GARCÍA HERNÁNDEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705235096&method=ResAtletaUid"",""81"",""41 SEN-M"",""SEN"",""KABRANKEROS"",""18:42:10"",""11:34"",""07:12:23"",""14008"",""M"",""""";
"89,""212"",""Luis Miguel GUERRERO MORALES"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535746281&method=ResAtletaUid"",""82"",""5 VETB-M"",""VETB"",""CARUCAT"",""18:43:39"",""11:35"",""07:13:52"",""14005"",""M"",""""";
"90,""12"",""José Vicente ACOSTA PÉREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535750314&method=ResAtletaUid"",""83"",""6 VETB-M"",""VETB"",""TEAM ACOSTA"",""18:44:18"",""11:35"",""07:14:31"",""14005"",""M"",""""";
"91,""11"",""Félix Manuel ACOSTA PEREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535750399&method=ResAtletaUid"",""84"",""36 VETA-M"",""VETA"",""TEAM ACOSTA"",""18:44:18"",""11:35"",""07:14:31"",""14006"",""M"",""""";
"92,""386"",""Juan Carlos RAMOS QUINTANA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1492670218505&method=ResAtletaUid"",""85"",""37 VETA-M"",""VETA"",""Arista"",""18:47:25"",""11:37"",""07:17:38"",""14006"",""M"",""""";
"93,""446"",""Ariel  SANTANA REYES"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705225460&method=ResAtletaUid"",""86"",""42 SEN-M"",""SEN"",""C.D. Vandama"",""18:53:54"",""11:41"",""07:24:07"",""14008"",""M"",""""";
"94,""99"",""Jonas DELLI PAOLI RAMOS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535745601&method=ResAtletaUid"",""87"",""43 SEN-M"",""SEN"",""C.T.CANDETLON"",""18:55:37"",""11:42"",""07:25:50"",""14008"",""M"",""51 LOC-M""";
"95,""438"",""Héctor Anibal  SÁNCHEZ FDEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705235879&method=ResAtletaUid"",""88"",""38 VETA-M"",""VETA"",""C.d. Guaxit zona aborigen"",""18:57:02"",""11:43"",""07:27:15"",""14006"",""M"",""52 LOC-M""";
"96,""49"",""David BOUZADA BIURRUN"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705236618&method=ResAtletaUid"",""89"",""39 VETA-M"",""VETA"",""ARISTA RUNNIS"",""19:03:31"",""11:47"",""07:33:44"",""14006"",""M"",""53 LOC-M""";
"97,""458"",""Jose SUAREZ CARDENES"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705233133&method=ResAtletaUid"",""90"",""7 VETB-M"",""VETB"",""Divertitrail"",""19:03:46"",""11:47"",""07:33:59"",""14005"",""M"",""""";
"98,""106"",""Jorge Edén  DÍAZ GONZÁLEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705237489&method=ResAtletaUid"",""91"",""44 SEN-M"",""SEN"",""-"",""19:06:16"",""11:49"",""07:36:29"",""14008"",""M"",""54 LOC-M""";
"99,""323"",""Fernando MOLINA GONZÁLEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535750032&method=ResAtletaUid"",""92"",""40 VETA-M"",""VETA"",""7K TRAIL TEAM"",""19:07:30"",""11:49"",""07:37:43"",""14006"",""M"",""55 LOC-M""";
"100,""355"",""Sergio  PÉREZ FARIÑA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1481290983397&method=ResAtletaUid"",""93"",""45 SEN-M"",""SEN"",""Menriscotrail"",""19:07:51"",""11:50"",""07:38:04"",""14008"",""M"",""56 LOC-M";"5 MIL-M"""
"101,""314"",""Juan MELIAN MONROY"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535753626&method=ResAtletaUid"",""94"",""41 VETA-M"",""VETA"",""C.D.ATLEFULCA"",""19:08:04"",""11:50"",""07:38:17"",""14006"",""M"",""""";
"102,""174"",""José  Ramón  GONZÁLEZ CASANOVA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535741334&method=ResAtletaUid"",""95"",""42 VETA-M"",""VETA"",""C.D.ABINQUE"",""19:10:16"",""11:51"",""07:40:29"",""14006"",""M"",""57 LOC-M""";
"103,""397"",""Mario RODOLFI"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1485451219995&method=ResAtletaUid"",""96"",""8 VETB-M"",""VETB"",""Croce Arcana"",""19:10:47"",""11:51"",""07:41:00"",""14005"",""M"",""""";
"104,""27"",""Gaston ANTONACCI MORALES"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1490814691489&method=ResAtletaUid"",""97"",""46 SEN-M"",""SEN"",""-"",""19:10:51"",""11:51"",""07:41:04"",""14008"",""M"",""""";
"105,""231"",""Jose Alberto  HERNÁNDEZ HERNÁNDEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535750538&method=ResAtletaUid"",""98"",""9 VETB-M"",""VETB"",""-"",""19:12:34"",""11:52"",""07:42:47"",""14005"",""M"",""58 LOC-M""";
"106,""425"",""Julio RODRIGUEZ TRIANA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705231647&method=ResAtletaUid"",""99"",""2 VETC-M"",""VETC"",""CAMINANTES EL ATAJO"",""19:14:06"",""11:53"",""07:44:19"",""14011"",""M"",""""";
"107,""252"",""Giovanni LA ROCCA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1479998804711&method=ResAtletaUid"",""100"",""43 VETA-M"",""VETA"",""LIBERO"",""19:14:17"",""11:53"",""07:44:30"",""14006"",""M"",""""";
"108,""138"",""Mark FOWELL"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1472256345609&method=ResAtletaUid"",""101"",""10 VETB-M"",""VETB"",""ROLLS-ROYCE HARRIERS"",""19:14:17"",""11:53"",""07:44:30"",""14005"",""M"",""""";
"109,""360"",""Luís Alberto PÉREZ MACHIN"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535744752&method=ResAtletaUid"",""102"",""47 SEN-M"",""SEN"",""Garafiaventura"",""19:18:48"",""11:56"",""07:49:01"",""14008"",""M"",""""";
"110,""22"",""Guillermo ALONSO MENA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535748955&method=ResAtletaUid"",""103"",""48 SEN-M"",""SEN"",""PLÁTANO TRAIL"",""19:25:58"",""12:01"",""07:56:11"",""14008"",""M"",""59 LOC-M""";
"111,""428"",""Vicente  ROJAS ROJAS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535752538&method=ResAtletaUid"",""104"",""44 VETA-M"",""VETA"",""Anaga Trail"",""19:27:07"",""12:01"",""07:57:20"",""14006"",""M"",""60 LOC-M""";
"112,""366"",""Carmelo PEREZ SANTANA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705233973&method=ResAtletaUid"",""105"",""45 VETA-M"",""VETA"",""C.D. ATLEFULCA"",""19:27:31"",""12:02"",""07:57:44"",""14006"",""M"",""""";
"113,""376"",""Tanausú QUESADA MEDINA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535745524&method=ResAtletaUid"",""106"",""46 VETA-M"",""VETA"",""Arista"",""19:27:38"",""12:02"",""07:57:51"",""14006"",""M"",""""";
"114,""247"",""Sergio JIMÉNEZ PÉREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535749605&method=ResAtletaUid"",""107"",""47 VETA-M"",""VETA"",""VIDATRAIL"",""19:28:03"",""12:02"",""07:58:16"",""14006"",""M"",""61 LOC-M""";
"115,""320"",""Vicente Imeldo MOLINA DONIZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535750051&method=ResAtletaUid"",""108"",""48 VETA-M"",""VETA"",""nurican trail"",""19:33:49"",""12:06"",""08:04:02"",""14006"",""M"",""62 LOC-M""";
"116,""392"",""Israel REYES PEREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535751745&method=ResAtletaUid"",""109"",""49 VETA-M"",""VETA"",""7K Trail team"",""19:34:21"",""12:06"",""08:04:34"",""14006"",""M"",""63 LOC-M""";
"117,""92"",""Carlos Antonio DEL ROSARIO SANTANA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705238163&method=ResAtletaUid"",""110"",""50 VETA-M"",""VETA"",""DE MAR A CUMBRE MUFLONES TRAIL"",""19:34:21"",""12:06"",""08:04:34"",""14006"",""M"",""64 LOC-M""";
"118,""321"",""Juan Miguel MOLINA GONZALEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705227248&method=ResAtletaUid"",""111"",""11 VETB-M"",""VETB"",""ATLANTES TRAIL"",""19:34:22"",""12:06"",""08:04:35"",""14005"",""M"",""65 LOC-M""";
"119,""167"",""Vincent GAUDIN"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1494721563419&method=ResAtletaUid"",""112"",""51 VETA-M"",""VETA"",""Journal du Trail"",""19:34:24"",""12:06"",""08:04:37"",""14006"",""M"",""""";
"120,""330"",""Ergual MORIN JORGE"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705235606&method=ResAtletaUid"",""113"",""49 SEN-M"",""SEN"",""C. M. LAURISILVA"",""19:34:24"",""12:06"",""08:04:37"",""14008"",""M"",""66 LOC-M""";
"121,""421"",""Eduardo RODRÍGUEZ ROSA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705233658&method=ResAtletaUid"",""114"",""50 SEN-M"",""SEN"",""Patea San Borondón Berenicedental"",""19:34:44"",""12:06"",""08:04:57"",""14008"",""M"",""67 LOC-M""";
"122,""210"",""Diego GUERRA GIL"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705229973&method=ResAtletaUid"",""115"",""51 SEN-M"",""SEN"",""CD ARISTA"",""19:35:39"",""12:07"",""08:05:52"",""14008"",""M"",""6 MIL-M""";
"123,""334"",""Dennis NORRIS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1481290968880&method=ResAtletaUid"",""116"",""12 VETB-M"",""VETB"",""-"",""19:35:42"",""12:07"",""08:05:55"",""14005"",""M"",""""";
"124,""343"",""Bruno Román PADRÓN PÉREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1490814706385&method=ResAtletaUid"",""117"",""52 SEN-M"",""SEN"",""TRECUS DOMINGO ALONSO LA PALMA"",""19:36:19"",""12:07"",""08:06:32"",""14008"",""M"",""68 LOC-M""";
"125,""102"",""David DIAZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705233033&method=ResAtletaUid"",""118"",""53 SEN-M"",""SEN"",""C.D. VALLIVANA"",""19:40:58"",""12:10"",""08:11:11"",""14008"",""M"",""69 LOC-M""";
"126,""145"",""Gemma GAME"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1490814715046&method=ResAtletaUid"",""8-F"",""4 SEN-F"",""SEN"",""-"",""19:42:43"",""12:11"",""08:12:56"",""14001"",""F"",""""";
"127,""239"",""Jose Ramon HERNANDEZ SANTANA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705237280&method=ResAtletaUid"",""119"",""52 VETA-M"",""VETA"",""ATLANTES TRAIL"",""19:46:57"",""12:14"",""08:17:10"",""14006"",""M"",""70 LOC-M""";
"128,""454"",""Pedro SIVERIO SIVERIO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535743704&method=ResAtletaUid"",""121"",""13 VETB-M"",""VETB"",""ANAGA TRAIL"",""19:46:57"",""12:14"",""08:17:10"",""14005"",""M"",""72 LOC-M""";
"129,""204"",""Leonardo GONZALEZ SARMIENTO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705237262&method=ResAtletaUid"",""120"",""53 VETA-M"",""VETA"",""ATLANTES TRAIL"",""19:46:57"",""12:14"",""08:17:10"",""14006"",""M"",""71 LOC-M""";
"130,""298"",""Manuel Alexis  MARTIN LORENZO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705241228&method=ResAtletaUid"",""122"",""54 SEN-M"",""SEN"",""TOP TRAIL CANARIAS"",""19:47:53"",""12:14"",""08:18:06"",""14008"",""M"",""73 LOC-M""";
"131,""183"",""Ibrahim  GONZALEZ GONZALEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535747882&method=ResAtletaUid"",""123"",""55 SEN-M"",""SEN"",""TOP TRAIL CANARIAS"",""19:47:53"",""12:14"",""08:18:06"",""14008"",""M"",""74 LOC-M""";
"132,""429"",""Juan ROMERO GASPAR"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1487884337372&method=ResAtletaUid"",""124"",""14 VETB-M"",""VETB"",""-"",""19:48:23"",""12:15"",""08:18:36"",""14005"",""M"",""75 LOC-M""";
"133,""417"",""Antonio RODRIGUEZ PEREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705232812&method=ResAtletaUid"",""125"",""54 VETA-M"",""VETA"",""no"",""19:50:23"",""12:16"",""08:20:36"",""14006"",""M"",""76 LOC-M""";
"134,""256"",""Neftalí  LECUONA LEÓN"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535746357&method=ResAtletaUid"",""126"",""56 SEN-M"",""SEN"",""MACHETE TRAIL"",""19:51:35"",""12:17"",""08:21:48"",""14008"",""M"",""77 LOC-M""";
"135,""255"",""Mark LARSON"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1487884333923&method=ResAtletaUid"",""127"",""57 SEN-M"",""SEN"",""CLATOR 3.7"",""19:51:47"",""12:17"",""08:22:00"",""14008"",""M"",""""";
"136,""473"",""Carlos ULE DELGADO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535742314&method=ResAtletaUid"",""128"",""55 VETA-M"",""VETA"",""CCT Santa Cruz-Magec Trail"",""19:51:48"",""12:17"",""08:22:01"",""14006"",""M"",""78 LOC-M""";
"137,""420"",""Gonzalo RODRIGUEZ RAMOS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535739360&method=ResAtletaUid"",""129"",""56 VETA-M"",""VETA"",""Cuarentañeros Running"",""19:52:43"",""12:17"",""08:22:56"",""14006"",""M"",""79 LOC-M""";
"138,""42"",""Felipe  BETANCOR ORGAZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705234257&method=ResAtletaUid"",""130"",""57 VETA-M"",""VETA"",""TENERIFE MAMUT TRAIL"",""19:52:46"",""12:17"",""08:22:59"",""14006"",""M"",""80 LOC-M""";
"139,""284"",""Iriome  MARCIAL MORENO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1482050882750&method=ResAtletaUid"",""131"",""58 SEN-M"",""SEN"",""Tirusamat"",""19:53:41"",""12:18"",""08:23:54"",""14008"",""M"",""""";
"140,""398"",""Carlos Zebenzui RODRÍGUEZ BARRETO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705241480&method=ResAtletaUid"",""132"",""59 SEN-M"",""SEN"",""-"",""19:54:07"",""12:18"",""08:24:20"",""14008"",""M"",""81 LOC-M""";
"141,""237"",""Damian HERNÁNDEZ RUIZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705241427&method=ResAtletaUid"",""133"",""58 VETA-M"",""VETA"",""TRIPTO"",""19:54:44"",""12:19"",""08:24:57"",""14006"",""M"",""82 LOC-M""";
"142,""232"",""Maria Victoria HERNÁNDEZ HERRERA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535741399&method=ResAtletaUid"",""9-F"",""2 VETB-F"",""VETB"",""COMEKILOMETROS TRAIL"",""19:54:46"",""12:19"",""08:24:59"",""14002"",""F"",""5 LOC-F""";
"143,""450"",""Juan Antonio SERRANO CASTAÑO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705237223&method=ResAtletaUid"",""134"",""3 VETC-M"",""VETC"",""CLUB ALPINO ELDENSE"",""19:54:46"",""12:19"",""08:24:59"",""14011"",""M"",""""";
"144,""125"",""Carlos EXPÓSITO AFONSO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1469638133460&method=ResAtletaUid"",""135"",""60 SEN-M"",""SEN"",""EDMH"",""20:00:19"",""12:22"",""08:30:32"",""14008"",""M"",""83 LOC-M""";
"145,""266"",""David LÓPEZ LEDESMA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1469638126593&method=ResAtletaUid"",""136"",""59 VETA-M"",""VETA"",""CLUB DEPORTIVO GUADATRAIL"",""20:00:29"",""12:22"",""08:30:42"",""14006"",""M"",""""";
"146,""245"",""Margit HIRTZY"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1481290982162&method=ResAtletaUid"",""10-F"",""3 VETB-F"",""VETB"",""LCA HOCHSCHWAB"",""20:04:35"",""12:25"",""08:34:48"",""14002"",""F"",""""";
"147,""53"",""Martina BRICARELLO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535745625&method=ResAtletaUid"",""11-F"",""4 VETA-F"",""VETA"",""I RUN FOR FIND THE CURE"",""20:04:58"",""12:25"",""08:35:11"",""14004"",""F"",""""";
"148,""48"",""Eduardo BOADA LODOS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705241261&method=ResAtletaUid"",""137"",""61 SEN-M"",""SEN"",""Divertitrail"",""20:13:29"",""12:30"",""08:43:42"",""14008"",""M"",""""";
"149,""185"",""Cesar GONZALEZ GONZALEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705226413&method=ResAtletaUid"",""138"",""62 SEN-M"",""SEN"",""-"",""20:14:38"",""12:31"",""08:44:51"",""14008"",""M"",""84 LOC-M""";
"150,""18"",""Fernando AGUILAR PEREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535754736&method=ResAtletaUid"",""139"",""60 VETA-M"",""VETA"",""BUHOTRAIL"",""20:14:55"",""12:31"",""08:45:08"",""14006"",""M"",""85 LOC-M""";
"151,""86"",""Pedro DÁVILA PÉREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535743230&method=ResAtletaUid"",""140"",""61 VETA-M"",""VETA"",""Búho club"",""20:14:55"",""12:31"",""08:45:08"",""14006"",""M"",""86 LOC-M""";
"152,""258"",""Hans LEMS"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1479998803117&method=ResAtletaUid"",""141"",""15 VETB-M"",""VETB"",""-"",""20:15:03"",""12:31"",""08:45:16"",""14005"",""M"",""""";
"153,""439"",""Javier SÁNCHEZ FELIPE"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705229267&method=ResAtletaUid"",""142"",""62 VETA-M"",""VETA"",""Tenerife Trail"",""20:15:35"",""12:31"",""08:45:48"",""14006"",""M"",""87 LOC-M""";
"154,""382"",""Félix QUINTERO SACRAMENTO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705229488&method=ResAtletaUid"",""143"",""63 VETA-M"",""VETA"",""-"",""20:15:35"",""12:31"",""08:45:48"",""14006"",""M"",""88 LOC-M""";
"155,""443"",""Jacinto SÁNCHEZ VEGA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705236021&method=ResAtletaUid"",""144"",""64 VETA-M"",""VETA"",""Tolisco"",""20:19:06"",""12:34"",""08:49:19"",""14006"",""M"",""""";
"156,""179"",""Jesús Iván GONZÁLEZ DÍAZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535754005&method=ResAtletaUid"",""145"",""63 SEN-M"",""SEN"",""-"",""20:19:16"",""12:34"",""08:49:29"",""14008"",""M"",""89 LOC-M""";
"157,""207"",""Esther GORDILLO CONCEPCION"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705236229&method=ResAtletaUid"",""12-F"",""5 VETA-F"",""VETA"",""-"",""20:24:05"",""12:37"",""08:54:18"",""14004"",""F"",""6 LOC-F""";
"158,""274"",""Michael LORD"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535740427&method=ResAtletaUid"",""146"",""16 VETB-M"",""VETB"",""C.D.Bichillorunner"",""20:24:26"",""12:37"",""08:54:39"",""14005"",""M"",""""";
"159,""374"",""Antonio Jose POLEO JORGE"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1484471401064&method=ResAtletaUid"",""147"",""64 SEN-M"",""SEN"",""Podona trail"",""20:24:26"",""12:37"",""08:54:39"",""14008"",""M"",""90 LOC-M""";
"160,""270"",""Ruben LOPEZ RODRIGUEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535741093&method=ResAtletaUid"",""148"",""65 SEN-M"",""SEN"",""C.D BASE:TRATECAN"",""20:25:34"",""12:38"",""08:55:47"",""14008"",""M"",""""";
"161,""378"",""Johnny QUINTANA MARTIN"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705230201&method=ResAtletaUid"",""149"",""65 VETA-M"",""VETA"",""TENERIFE TRAIL"",""20:27:24"",""12:39"",""08:57:37"",""14006"",""M"",""91 LOC-M""";
