"16,""287"",""Roberto  MARRERO PÉREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1478205161712&method=ResAtletaUid"",""15"",""5 VETA-M"",""VETA"",""Clumonfir"",""14:38:57"",""09:03"",""03:09:10"",""14006"",""M"",""""";
"17,""148"",""Ignacio GARCÍA DEL CASTILLO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1476727937719&method=ResAtletaUid"",""16"",""6 VETA-M"",""VETA"",""Coyotes Tenerife trail"",""14:49:37"",""09:10"",""03:19:50"",""14006"",""M"",""8 LOC-M";"1 MIL-M"""
"18,""195"",""Jonathan GONZÁLEZ MÉNDEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465532189808&method=ResAtletaUid"",""17"",""10 SEN-M"",""SEN"",""PICO TRAIL"",""15:01:44"",""09:17"",""03:31:57"",""14008"",""M"",""9 LOC-M""";
"19,""15"",""Tato AFONSO LEÓN"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535756770&method=ResAtletaUid"",""18"",""11 SEN-M"",""SEN"",""TENERIFE CORRE"",""15:12:25"",""09:24"",""03:42:38"",""14008"",""M"",""10 LOC-M""";
"20,""224"",""Jose David HERNANDEZ DIAZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705227525&method=ResAtletaUid"",""19"",""7 VETA-M"",""VETA"",""TENERIFE TRAIL-EDUCERE SPORT"",""15:14:48"",""09:25"",""03:45:01"",""14006"",""M"",""11 LOC-M""";
"21,""139"",""Jesus FRAILE JIMENEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1487884338690&method=ResAtletaUid"",""20"",""8 VETA-M"",""VETA"",""SEGURARTIC"",""15:19:02"",""09:28"",""03:49:15"",""14006"",""M"",""""";
"22,""28"",""Aitor ARANA AREXOLALEIBA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535743079&method=ResAtletaUid"",""21"",""9 VETA-M"",""VETA"",""MIRUGAIN M.E."",""15:23:06"",""09:30"",""03:53:19"",""14006"",""M"",""""";
"23,""457"",""Calixto SOSA PACHECO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705229463&method=ResAtletaUid"",""22"",""12 SEN-M"",""SEN"",""Taoro Tenis de mesa"",""15:27:29"",""09:33"",""03:57:42"",""14008"",""M"",""12 LOC-M""";
"24,""114"",""Juan Antonio DIOS MOSEGUE"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535749009&method=ResAtletaUid"",""23"",""10 VETA-M"",""VETA"",""TIGAIGA RUNING"",""15:35:29"",""09:38"",""04:05:42"",""14006"",""M"",""13 LOC-M""";
"25,""291"",""Arsenio MARTIN GONZALEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535751408&method=ResAtletaUid"",""24"",""11 VETA-M"",""VETA"",""INDEPENDIENTE"",""15:42:59"",""09:43"",""04:13:12"",""14006"",""M"",""14 LOC-M""";
"26,""292"",""Marcos MARTIN GONZALEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705230635&method=ResAtletaUid"",""25"",""13 SEN-M"",""SEN"",""-"",""15:52:52"",""09:49"",""04:23:05"",""14008"",""M"",""15 LOC-M""";
