"my-table_cell__z__zN,""my-table_cell__z__zN 2"",""link_link__96ppl"",""link_link__96ppl href"",""my-table_cell__z__zN 3"",""my-table_cell__z__zN 4"",""my-table_cell__z__zN 5"""
"43,""17:40:42"",""Rogelio RUIZ HERNANDEZ"",""https://utmb.world/en/runner/1001895.rogelio.ruizhernandez"",""Spain"",""men"",""40-44"""
"44,""17:46:48"",""J.Eduardo NAVARRO MENDOZA"",""https://utmb.world/en/runner/2103277.j-eduardo.navarromendoza"",""Spain"",""men"",""35-39"""
"45,""17:47:20"",""Jonas Roberto ESTEVEZ RODRICUEZ"",""https://utmb.world/en/runner/2103279.jonasroberto.estevezrodricuez"",""Spain"",""men"",""20-34"""
"46,""17:47:22"",""Rubén GARCÍA-CALDERÓN"",""https://utmb.world/en/runner/522157.ruben.garciacalderon"",""Spain"",""men"",""20-34"""
"47,""17:53:09"",""Fernando SALAZAR-HERNANDEZ"",""https://utmb.world/en/runner/262874.fernando.salazarhernandez"",""Spain"",""men"",""20-34"""
"48,""17:54:59"",""Bernadette BENSON"",""https://utmb.world/en/runner/45762.bernadette.benson"",""Australia"",""women"",""45-49"""
"49,""17:55:21"",""Urdax AREITIO-ASUA"",""https://utmb.world/en/runner/13768.urdax.areitioasua"",""Spain"",""men"",""40-44"""
"50,""17:55:21"",""Eduardo CEBRIAN"",""https://utmb.world/en/runner/140702.eduardo.cebrian"",""Spain"",""men"",""45-49"""
"51,""17:57:05"",""Nicolas MARTIN GONZALEZ"",""https://utmb.world/en/runner/375277.nicolas.martingonzalez"",""Spain"",""men"",""40-44"""
"52,""18:08:20"",""Alexis RODRIGUEZ-BRITO"",""https://utmb.world/en/runner/11875.alexis.rodriguezbrito"",""Spain"",""men"",""35-39"""
"53,""18:09:06"",""Sandy HEMPRICH"",""https://utmb.world/en/runner/62762.sandy.hemprich"",""Germany"",""men"",""35-39"""
"54,""18:20:42"",""Victor Eduardo CRUZ ACOSTA"",""https://utmb.world/en/runner/1519801.victoreduardo.cruzacosta"",""Mexico"",""men"",""40-44"""
"55,""18:21:16"",""Voro GUILLEM BORRAS"",""https://utmb.world/en/runner/3507551.voro.guillemborras"",""Spain"",""men"",""40-44"""
"56,""18:24:16"",""Jose-Antonio TORRES-BETHENCOURT"",""https://utmb.world/en/runner/797956.joseantonio.torresbethencourt"",""Spain"",""men"",""45-49"""
"57,""18:24:52"",""Michele PIATTO"",""https://utmb.world/en/runner/243028.michele.piatto"",""Italy"",""men"",""40-44"""
"58,""18:38:58"",""Cedric ACHARD"",""https://utmb.world/en/runner/427715.cedric.achard"",""France"",""men"",""35-39"""
"59,""18:41:31"",""Angel-Luis CAMACHO-PEREZ"",""https://utmb.world/en/runner/272729.angelluis.camachoperez"",""Spain"",""men"",""45-49"""
"60,""18:42:30"",""Jose-Javier IGLESIAS-PEREIRA"",""https://utmb.world/en/runner/559601.josejavier.iglesiaspereira"",""Spain"",""men"",""45-49"""
"61,""18:45:38"",""Silviu CURUCIUC"",""https://utmb.world/en/runner/1643543.silviu.curuciuc"",""Romania"",""men"",""20-34"""
"62,""18:47:12"",""Stephane REYNAUD"",""https://utmb.world/en/runner/367186.stephane.reynaud"",""France"",""men"",""35-39"""
"63,""18:49:33"",""Francois BALAO"",""https://utmb.world/en/runner/238716.francois.balao"",""France"",""men"",""20-34"""
"64,""18:50:23"",""Antonio-Jesus RIOS-GARCIA"",""https://utmb.world/en/runner/452203.antoniojesus.riosgarcia"",""Spain"",""men"",""40-44"""
"65,""18:54:35"",""Ivan Alberto DIAZ GONZALEZ"",""https://utmb.world/en/runner/226063.ivanalberto.diazgonzalez"",""Spain"",""men"",""35-39"""
"66,""18:54:46"",""Antonio-Javier RODRÍGUEZ-PÉREZ"",""https://utmb.world/en/runner/979953.antoniojavier.rodriguezperez"",""Spain"",""men"",""20-34"""
"67,""18:55:15"",""Luciano-Javier GONZALEZ-RODRIGUEZ"",""https://utmb.world/en/runner/226070.lucianojavier.gonzalezrodriguez"",""Spain"",""men"",""40-44"""
"68,""18:58:57"",""Eduardo FALCON CASTELLANO"",""https://utmb.world/en/runner/200139.eduardo.falconcastellano"",""Spain"",""men"",""40-44"""
"69,""19:01:19"",""Andreas SCHNEIDEWIND"",""https://utmb.world/en/runner/69288.andreas.schneidewind"",""Germany"",""men"",""50-54"""
"70,""19:01:19"",""David DIAZ MARTINEZ"",""https://utmb.world/en/runner/1506665.david.diazmartinez"",""Spain"",""men"",""40-44"""
"71,""19:03:58"",""Alexander ZELENKA"",""https://utmb.world/en/runner/80561.alexander.zelenka"",""Switzerland"",""men"",""40-44"""
"72,""19:07:05"",""Francisco-Javier HERNANDEZ-SANCHEZ"",""https://utmb.world/en/runner/11817.franciscojavier.hernandezsanchez"",""Spain"",""men"",""50-54"""
"73,""19:12:57"",""Roberto GARCIA"",""https://utmb.world/en/runner/1739743.roberto.garcia"",""Spain"",""men"",""40-44"""
"74,""19:14:01"",""Vicente DIAZ-DIAZ"",""https://utmb.world/en/runner/160336.vicente.diazdiaz"",""Spain"",""men"",""40-44"""
"75,""19:15:12"",""Sergio CHICHARRO"",""https://utmb.world/en/runner/3109003.sergio.chicharro"",""Spain"",""men"",""40-44"""
"76,""19:15:47"",""Diego GUERRA-GIL"",""https://utmb.world/en/runner/797691.diego.guerragil"",""Spain"",""men"",""35-39"""
"77,""19:15:48"",""Cristian GUERRA-PEREZ"",""https://utmb.world/en/runner/264621.cristian.guerraperez"",""Spain"",""men"",""35-39"""
"78,""19:20:58"",""José-Manuel GONZALEZ-LEON"",""https://utmb.world/en/runner/1001909.josemanuel.gonzalezleon"",""Spain"",""men"",""40-44"""
"79,""19:20:58"",""Ana_belén MARTIN-GONZALEZ"",""https://utmb.world/en/runner/262953.anabelen.martingonzalez"",""Spain"",""women"",""40-44"""
"80,""19:21:01"",""Ismael MASERO"",""https://utmb.world/en/runner/1056189.ismael.masero"",""Spain"",""men"",""20-34"""
"81,""19:25:03"",""Giovanni ROTA"",""https://utmb.world/en/runner/61125.giovanni.rota"",""Italy"",""men"",""55-59"""
"82,""19:25:36"",""Julio RODRIGUEZ-TRIANA"",""https://utmb.world/en/runner/12345.julio.rodrigueztriana"",""Spain"",""men"",""65-69"""
"83,""19:25:55"",""Jose-Maria DIAZ-NICOLAS"",""https://utmb.world/en/runner/922855.josemaria.diaznicolas"",""Spain"",""men"",""40-44"""
"84,""19:27:42"",""Luis SICILIA-ROIG"",""https://utmb.world/en/runner/462704.luis.siciliaroig"",""Spain"",""men"",""40-44"""
"85,""19:27:44"",""Alberto MEGIDO"",""https://utmb.world/en/runner/11939.alberto.megido"",""Spain"",""men"",""45-49"""
"86,""19:35:58"",""Dzintars KLAVA"",""https://utmb.world/en/runner/452055.dzintars.klava"",""Ireland"",""men"",""40-44"""
"87,""19:37:02"",""Gregorio Jesus GUTIERREZ"",""https://utmb.world/en/runner/2103295.gregoriojesus.gutierrez"",""Spain"",""men"",""50-54"""
"88,""19:38:07"",""Jose PEREA"",""https://utmb.world/en/runner/2103297.jose.perea"",""Spain"",""men"",""35-39"""
"89,""19:40:01"",""Jonathan GONZÁLEZ-TACORONTE"",""https://utmb.world/en/runner/798013.jonathan.gonzaleztacoronte"",""Spain"",""men"",""35-39"""
"90,""19:40:05"",""Sixto LORENZO-FARRAIS"",""https://utmb.world/en/runner/226158.sixto.lorenzofarrais"",""Spain"",""men"",""45-49"""
"91,""19:40:59"",""Jonathan LAURENTI"",""https://utmb.world/en/runner/117077.jonathan.laurenti"",""France"",""men"",""35-39"""
"92,""19:41:04"",""Daniel FIDALGO DIAZ"",""https://utmb.world/en/runner/210749.daniel.fidalgodiaz"",""Spain"",""men"",""35-39"""
"93,""19:41:19"",""Miguel RODRIGUEZ"",""https://utmb.world/en/runner/1304669.miguel.rodriguez"",""Spain"",""men"",""20-34"""
"94,""19:41:25"",""Ivan RINALDI (Rinaldi IVAN)"",""https://utmb.world/en/runner/117574.rinaldi.ivan"",""Italy"",""men"",""35-39"""
"95,""19:44:20"",""Sergio PÉREZ-FARIÑA"",""https://utmb.world/en/runner/1312917.sergio.perezfarina"",""Spain"",""men"",""20-34"""
"96,""19:44:42"",""Alberto HERNÁNDEZ-BETANCOR"",""https://utmb.world/en/runner/262491.alberto.hernandezbetancor"",""Spain"",""men"",""20-34"""
"97,""19:44:43"",""Felipe-Neri RODRIGUEZ-DIAZ"",""https://utmb.world/en/runner/262872.felipeneri.rodriguezdiaz"",""Spain"",""men"",""20-34"""
"98,""19:45:34"",""Ayoze ENCINOSO-FAJARDO"",""https://utmb.world/en/runner/262473.ayoze.encinosofajardo"",""Spain"",""men"",""35-39"""
"99,""19:45:38"",""Thomas CRISPILS"",""https://utmb.world/en/runner/1377497.thomas.crispils"",""France"",""men"",""20-34"""
"100,""19:47:28"",""Jose-Antonio MOLINA-GONZALEZ"",""https://utmb.world/en/runner/12442.joseantonio.molinagonzalez"",""Spain"",""men"",""50-54"""
"101,""19:53:01"",""Juan-Manuel GONZALEZ-YANES"",""https://utmb.world/en/runner/273307.juanmanuel.gonzalezyanes"",""Spain"",""men"",""40-44"""
"102,""19:56:23"",""Antonio MARIN"",""https://utmb.world/en/runner/285411.antonio.marin"",""Spain"",""men"",""35-39"""
"103,""19:56:26"",""Jose-Carmelo PEREZ-RODRIGUEZ"",""https://utmb.world/en/runner/12017.josecarmelo.perezrodriguez"",""Spain"",""men"",""40-44"""
"104,""19:56:29"",""Mark DAVIES"",""https://utmb.world/en/runner/340624.mark.davies"",""United Kingdom"",""men"",""40-44"""
"105,""19:59:15"",""Victor GONZALEZ GONZALEZ"",""https://utmb.world/en/runner/126202.victor.gonzalezgonzalez"",""Spain"",""men"",""45-49"""
"106,""20:04:39"",""Ricardo CASTRILLO PIÑERO"",""https://utmb.world/en/runner/1614171.ricardo.castrillopinero"",""Spain"",""men"",""45-49"""
"107,""20:04:40"",""David Jesus DIAZ MARTINEZ"",""https://utmb.world/en/runner/1423975.davidjesus.diazmartinez"",""Spain"",""men"",""40-44"""
"108,""20:06:39"",""Gareth JONES"",""https://utmb.world/en/runner/1008817.gareth.jones"",""United Kingdom"",""men"",""50-54"""
"109,""20:08:48"",""Andrei STAICU"",""https://utmb.world/en/runner/666339.andrei.staicu"",""Romania"",""men"",""35-39"""
"110,""20:10:46"",""Thomas KETTELER"",""https://utmb.world/en/runner/298080.thomas.ketteler"",""Germany"",""men"",""45-49"""
"111,""20:11:36"",""Maria Lorena RAMIREZ NAHUEACHI"",""https://utmb.world/en/runner/2103305.marialorena.ramireznahueachi"",""Mexico"",""women"",""20-34"""
"112,""20:11:40"",""Elesio-Manuel SUAREZ-ALBERTO"",""https://utmb.world/en/runner/381080.elesiomanuel.suarezalberto"",""Spain"",""men"",""55-59"""
"113,""20:11:41"",""Ruben NOVOA-JURADO"",""https://utmb.world/en/runner/140629.ruben.novoajurado"",""Spain"",""men"",""50-54"""
"114,""20:11:56"",""Laurent DEHEEGHER"",""https://utmb.world/en/runner/24288.laurent.deheegher"",""France"",""men"",""45-49"""
"115,""20:11:59"",""Juanma LUIS"",""https://utmb.world/en/runner/2103307.juanma.luis"",""Spain"",""men"",""45-49"""
"116,""20:13:56"",""Francisco LOPEZ-ROLDAN"",""https://utmb.world/en/runner/1286075.francisco.lopezroldan"",""Spain"",""men"",""45-49"""
"117,""20:15:18"",""Carmen MARTINEZ-SAEZ"",""https://utmb.world/en/runner/175951.carmen.martinezsaez"",""Spain"",""women"",""40-44"""
"118,""20:20:15"",""Quique TOLEDO-CALVO"",""https://utmb.world/en/runner/356173.quique.toledocalvo"",""Spain"",""men"",""45-49"""
"119,""20:23:41"",""Anibal PÉREZ-RODRÍGUEZ"",""https://utmb.world/en/runner/917137.anibal.perezrodriguez"",""Spain"",""men"",""20-34"""
"120,""20:24:53"",""David SOA CRUZ"",""https://utmb.world/en/runner/2103309.david.soacruz"",""Spain"",""men"",""35-39"""
"121,""20:31:55"",""Félix QUINTERO-SACRAMENTO"",""https://utmb.world/en/runner/587232.felix.quinterosacramento"",""Spain"",""men"",""40-44"""
"122,""20:31:59"",""Felix-Ivan GUANCHE-MARRERO"",""https://utmb.world/en/runner/380969.felixivan.guanchemarrero"",""Spain"",""men"",""45-49"""
"123,""20:35:25"",""Baudilio RODRIGUEZ-HERNANDEZ"",""https://utmb.world/en/runner/234644.baudilio.rodriguezhernandez"",""Spain"",""men"",""45-49"""
"124,""20:36:46"",""Miguel MUNIO"",""https://utmb.world/en/runner/106697.miguel.munio"",""Spain"",""men"",""55-59"""
"125,""20:42:01"",""Ricardo RODRIGUEZ-MORALES"",""https://utmb.world/en/runner/803629.ricardo.rodriguezmorales"",""Spain"",""men"",""20-34"""
"126,""20:43:05"",""Jeronimo SANTANA-SANTANA"",""https://utmb.world/en/runner/125244.jeronimo.santanasantana"",""Spain"",""men"",""50-54"""
"127,""20:45:28"",""Gualtiero MARINGONI"",""https://utmb.world/en/runner/290967.gualtiero.maringoni"",""Italy"",""men"",""50-54"""
"128,""20:49:20"",""Luc ALMERAS"",""https://utmb.world/en/runner/553300.luc.almeras"",""France"",""men"",""35-39"""
"129,""20:52:13"",""Myrvete ZEKAJ DULI"",""https://utmb.world/en/runner/945049.myrvete.zekajduli"",""Kosovo"",""women"",""20-34"""
"130,""21:05:38"",""Isabel SANDOVAL MIGUEL"",""https://utmb.world/en/runner/2103311.isabel.sandovalmiguel"",""Spain"",""women"",""45-49"""
"131,""21:05:42"",""Alberto PLAZAS-GONZALEZ"",""https://utmb.world/en/runner/199792.alberto.plazasgonzalez"",""Spain"",""men"",""35-39"""
"132,""21:06:09"",""Daniel MARTIN-MARRERO"",""https://utmb.world/en/runner/375293.daniel.martinmarrero"",""Spain"",""men"",""20-34"""
"133,""21:08:03"",""Luis-Roberto REY GONZALEZ"",""https://utmb.world/en/runner/226115.luisroberto.reygonzalez"",""Spain"",""men"",""55-59"""
"134,""21:09:22"",""Juan-Miguel MOLINA-GONZALEZ"",""https://utmb.world/en/runner/208419.juanmiguel.molinagonzalez"",""Spain"",""men"",""60-64"""
"135,""21:09:54"",""Arturo HERRERA DE LEON"",""https://utmb.world/en/runner/76124.arturo.herreradeleon"",""Spain"",""men"",""40-44"""
"136,""21:09:55"",""Fernando IZQUIERDO-CRISOSTOMO"",""https://utmb.world/en/runner/13128.fernando.izquierdocrisostomo"",""Spain"",""men"",""40-44"""
"137,""21:10:05"",""Jesus-Manuel GONZALEZ-MENDEZ"",""https://utmb.world/en/runner/13112.jesusmanuel.gonzalezmendez"",""Spain"",""men"",""50-54"""
"138,""21:10:23"",""Alexandre FROISSART"",""https://utmb.world/en/runner/593198.alexandre.froissart"",""France"",""men"",""20-34"""
"139,""21:14:42"",""Quico HERNANDEZ FEBLES"",""https://utmb.world/en/runner/2103315.quico.hernandezfebles"",""Spain"",""men"",""40-44"""
"140,""21:16:53"",""Diego COLESAN"",""https://utmb.world/en/runner/308600.diego.colesan"",""Italy"",""men"",""40-44"""
"141,""21:20:47"",""Eugenia CASTRO-AFONSO"",""https://utmb.world/en/runner/31814.eugenia.castroafonso"",""Spain"",""women"",""55-59"""
"142,""21:21:30"",""Veremundo PIMIENTA MARTIN"",""https://utmb.world/en/runner/2103317.veremundo.pimientamartin"",""Spain"",""men"",""45-49"""
"143,""21:21:36"",""Roberto PUYOL"",""https://utmb.world/en/runner/312063.roberto.puyol"",""Spain"",""men"",""20-34"""
"144,""21:23:15"",""Francisco-Conrado TRUJILLO-SUAREZ"",""https://utmb.world/en/runner/226216.franciscoconrado.trujillosuarez"",""Spain"",""men"",""40-44"""
"145,""21:32:23"",""Alejandro-Arturo GUILLEN-PERERA"",""https://utmb.world/en/runner/375298.alejandroarturo.guillenperera"",""Spain"",""men"",""45-49"""
"146,""21:35:56"",""Wiro JORDAN"",""https://utmb.world/en/runner/604070.wiro.jordan"",""Spain"",""men"",""45-49"""
"147,""21:38:36"",""Frank FISCHER"",""https://utmb.world/en/runner/67704.frank.fischer"",""Germany"",""men"",""50-54"""
"148,""21:39:38"",""Hector FUENTES"",""https://utmb.world/en/runner/11865.hector.fuentes"",""Spain"",""men"",""40-44"""
"149,""21:44:48"",""Mariano STIVANELLO"",""https://utmb.world/en/runner/653645.mariano.stivanello"",""Italy"",""men"",""55-59"""
"150,""21:44:49"",""Jose-Antonio GARNES-RODRIGUEZ"",""https://utmb.world/en/runner/228335.joseantonio.garnesrodriguez"",""Spain"",""men"",""40-44"""
"151,""21:44:50"",""Asensio-Jose SOTO-HERRERO"",""https://utmb.world/en/runner/759733.asensiojose.sotoherrero"",""Spain"",""men"",""45-49"""
"152,""21:50:04"",""Victoriano MARTINEZ-MOLINA"",""https://utmb.world/en/runner/372463.victoriano.martinezmolina"",""Spain"",""men"",""45-49"""
"153,""21:50:04"",""Jose-Ignacio HERNANDEZ-MESA"",""https://utmb.world/en/runner/923097.joseignacio.hernandezmesa"",""Spain"",""men"",""45-49"""
"154,""21:50:09"",""Oscar BERNARDO"",""https://utmb.world/en/runner/606685.oscar.bernardo"",""Spain"",""men"",""35-39"""
"155,""21:51:03"",""Victor-Malagon CANADILLAS-DE LA CRUZ"",""https://utmb.world/en/runner/12263.victormalagon.canadillasdelacruz"",""Spain"",""men"",""55-59"""
"156,""21:53:10"",""Santi FRIAS"",""https://utmb.world/en/runner/2103323.santi.frias"",""Spain"",""men"",""50-54"""
"157,""21:53:13"",""Matthias SCHEFF"",""https://utmb.world/en/runner/875961.matthias.scheff"",""Germany"",""men"",""35-39"""
"158,""21:55:13"",""Francisco-Ramon MORALES-MEDINA"",""https://utmb.world/en/runner/372576.franciscoramon.moralesmedina"",""Spain"",""men"",""20-34"""
"159,""21:57:49"",""Alfonso CABRERA-SANTANA"",""https://utmb.world/en/runner/12346.alfonso.cabrerasantana"",""Spain"",""men"",""50-54"""
"160,""21:58:26"",""Jesus GARVI"",""https://utmb.world/en/runner/1181545.jesus.garvi"",""Spain"",""men"",""50-54"""
"161,""22:02:04"",""David PLASENCIA ALONSO"",""https://utmb.world/en/runner/2103325.david.plasenciaalonso"",""Spain"",""men"",""35-39"""
"162,""22:09:02"",""Carlos Eduardo LUCIANO"",""https://utmb.world/en/runner/980041.carloseduardo.luciano"",""Italy"",""men"",""40-44"""
"163,""22:09:54"",""Hector GONZALEZ"",""https://utmb.world/en/runner/2103327.hector.gonzalez"",""Spain"",""men"",""35-39"""
"164,""22:10:13"",""Wojciech RZADKOSZ"",""https://utmb.world/en/runner/611933.wojciech.rzadkosz"",""Poland"",""men"",""20-34"""
"165,""22:16:12"",""Santi DIAZ PEREZ"",""https://utmb.world/en/runner/2103329.santi.diazperez"",""Spain"",""men"",""50-54"""
"166,""22:19:24"",""Bernard BERGE"",""https://utmb.world/en/runner/156475.bernard.berge"",""France"",""men"",""60-64"""
"167,""22:19:25"",""Michael FREITAG"",""https://utmb.world/en/runner/596062.michael.freitag"",""Germany"",""men"",""45-49"""
"168,""22:19:33"",""Yeray RAMOS GONZALEZ"",""https://utmb.world/en/runner/1286771.yeray.ramosgonzalez"",""Spain"",""men"",""20-34"""
"169,""22:22:20"",""Antonio PEREZ-BARROSO"",""https://utmb.world/en/runner/262648.antonio.perezbarroso"",""Spain"",""men"",""50-54"""
"170,""22:25:36"",""Ingerlise HOEFSLOOT"",""https://utmb.world/en/runner/722792.ingerlise.hoefsloot"",""Netherlands"",""women"",""45-49"""
"171,""22:27:15"",""Jose-Ignacio ALVAREZ-GARCIA"",""https://utmb.world/en/runner/947925.joseignacio.alvarezgarcia"",""Spain"",""men"",""40-44"""
"172,""22:27:18"",""Isma LADA MARTINEZ"",""https://utmb.world/en/runner/2044827.isma.ladamartinez"",""Spain"",""men"",""45-49"""
"173,""22:27:20"",""Victor RUEDA"",""https://utmb.world/en/runner/2103331.victor.rueda"",""Spain"",""men"",""45-49"""
"174,""22:27:22"",""Angel RODRIGUEZ-PADILLA"",""https://utmb.world/en/runner/272752.angel.rodriguezpadilla"",""Spain"",""men"",""50-54"""
"175,""22:27:23"",""Marco Antonio MARTINEZ TORCAL"",""https://utmb.world/en/runner/964733.marcoantonio.martineztorcal"",""Spain"",""men"",""40-44"""
"176,""22:27:29"",""José-Martin ORELLANA-MIGUEL"",""https://utmb.world/en/runner/1133709.josemartin.orellanamiguel"",""Spain"",""men"",""45-49"""
"177,""22:36:08"",""Diego EPIS"",""https://utmb.world/en/runner/543295.diego.epis"",""Italy"",""men"",""50-54"""
"178,""22:36:33"",""Jesus-Ivan GONZALEZ-DIAZ"",""https://utmb.world/en/runner/226290.jesusivan.gonzalezdiaz"",""Spain"",""men"",""35-39"""
"179,""22:38:37"",""Jose TORNERO"",""https://utmb.world/en/runner/271120.jose.tornero"",""Spain"",""men"",""40-44"""
"180,""22:40:14"",""Roberto MARFIL-JIMÉNEZ"",""https://utmb.world/en/runner/263178.roberto.marfiljimenez"",""Spain"",""men"",""35-39"""
"181,""22:41:06"",""Tomas PADRON-RODRIGUEZ"",""https://utmb.world/en/runner/12450.tomas.padronrodriguez"",""Spain"",""men"",""65-69"""
"182,""22:41:07"",""David PADRÓN GONZÁLEZ"",""https://utmb.world/en/runner/1467609.david.padrongonzalez"",""Spain"",""men"",""40-44"""
