"my-table_cell__z__zN,""my-table_cell__z__zN 2"",""link_link__96ppl"",""link_link__96ppl href"",""my-table_cell__z__zN 3"",""my-table_cell__z__zN 4"",""my-table_cell__z__zN 5"""
"1,""12:57:02"",""Yeray DURAN"",""https://utmb.world/en/runner/11756.yeray.duran"",""Spain"",""men"",""40-44"""
"2,""13:12:08"",""Sange SHERPA"",""https://utmb.world/en/runner/6302.sange.sherpa"",""Nepal"",""men"",""35-39"""
"3,""14:14:15"",""Juan Antonio GONZÁLEZ RODRÍGUEZ"",""https://utmb.world/en/runner/226033.juanantonio.gonzalezrodriguez"",""Spain"",""men"",""45-49"""
"4,""14:21:51"",""Azara GARCIA"",""https://utmb.world/en/runner/531472.azara.garcia"",""Spain"",""women"",""35-39"""
"5,""14:34:25"",""Arcadio ARAUJO"",""https://utmb.world/en/runner/583050.arcadio.araujo"",""Spain"",""men"",""45-49"""
"6,""14:42:32"",""Elia VANZO"",""https://utmb.world/en/runner/238930.elia.vanzo"",""Italy"",""men"",""20-34"""
"7,""14:58:22"",""Arkaitz ITURRIAGA-ETXEBARRIA"",""https://utmb.world/en/runner/513836.arkaitz.iturriagaetxebarria"",""Spain"",""men"",""35-39"""
"8,""15:35:02"",""Antoni GARCÍA-HERNÁNDEZ"",""https://utmb.world/en/runner/979929.antoni.garciahernandez"",""Spain"",""men"",""35-39"""
"9,""15:35:59"",""Gabriel MEIRA"",""https://utmb.world/en/runner/125920.gabriel.meira"",""Portugal"",""men"",""40-44"""
"10,""15:44:50"",""Victor-Manuel GONZALEZ-CEJAS"",""https://utmb.world/en/runner/550968.victormanuel.gonzalezcejas"",""Spain"",""men"",""40-44"""
"11,""15:49:07"",""Rafael FERNANDEZ-PERDOMO"",""https://utmb.world/en/runner/263219.rafael.fernandezperdomo"",""Spain"",""men"",""55-59"""
"12,""15:52:43"",""Ivan GALVAN"",""https://utmb.world/en/runner/234586.ivan.galvan"",""Spain"",""men"",""20-34"""
"13,""15:54:15"",""Juan-Carlos RODRIGUEZ-CASTILLA"",""https://utmb.world/en/runner/11776.juancarlos.rodriguezcastilla"",""Spain"",""men"",""50-54"""
"14,""16:03:45"",""Nadezda SURMONINA"",""https://utmb.world/en/runner/753182.nadezda.surmonina"",""Georgia"",""women"",""35-39"""
"15,""16:05:24"",""Jack CASEY"",""https://utmb.world/en/runner/582950.jack.casey"",""United Kingdom"",""men"",""20-34"""
"16,""16:10:46"",""Isidro RODRIGUEZ-LUIS"",""https://utmb.world/en/runner/375259.isidro.rodriguezluis"",""Spain"",""men"",""40-44"""
"17,""16:16:27"",""Arsenio MARTIN-GONZALEZ"",""https://utmb.world/en/runner/380955.arsenio.martingonzalez"",""Spain"",""men"",""45-49"""
"18,""16:16:52"",""Walter PASTOR-HORSTMANN"",""https://utmb.world/en/runner/830125.walter.pastorhorstmann"",""Spain"",""men"",""40-44"""
"19,""16:19:05"",""Jonathan CANINO-MARTIN"",""https://utmb.world/en/runner/797628.jonathan.caninomartin"",""Spain"",""men"",""20-34"""
"20,""16:19:05"",""Ibon HURTADO"",""https://utmb.world/en/runner/506400.ibon.hurtado"",""Spain"",""men"",""20-34"""
"21,""16:24:37"",""Basilio LABRADOR"",""https://utmb.world/en/runner/226035.basilio.labrador"",""Spain"",""men"",""50-54"""
"22,""16:24:51"",""Rodrigo CAMINO-DOMINGUEZ"",""https://utmb.world/en/runner/31650.rodrigo.caminodominguez"",""Spain"",""men"",""40-44"""
"23,""16:25:06"",""Álvaro ALONSO-ÁNGEL-DE LA ROSA (Alvaro ALONSO ANGEL DE LA ROSA)"",""https://utmb.world/en/runner/797619.alvaro.alonsoangeldelarosa"",""Spain"",""men"",""35-39"""
"24,""16:31:19"",""Jose Mario RAMIREZ HERNANDEZ"",""https://utmb.world/en/runner/2103271.josemario.ramirezhernandez"",""Mexico"",""men"",""20-34"""
"25,""16:31:20"",""Edgar MARTINEZ VIDAL"",""https://utmb.world/en/runner/476760.edgar.martinezvidal"",""Spain"",""men"",""40-44"""
"26,""16:32:53"",""Francisco Jose RODRIGUEZ BARRETO"",""https://utmb.world/en/runner/272643.franciscojose.rodriguezbarreto"",""Spain"",""men"",""20-34"""
"27,""16:32:56"",""Oliver Fernando PEREZ PEREZ"",""https://utmb.world/en/runner/587404.oliverfernando.perezperez"",""Spain"",""men"",""35-39"""
"28,""16:38:45"",""Patricio VELEZ-QUISHPA"",""https://utmb.world/en/runner/957455.patricio.velezquishpa"",""Spain"",""men"",""20-34"""
"29,""16:41:16"",""Duarte BARBOSA"",""https://utmb.world/en/runner/861920.duarte.barbosa"",""Portugal"",""men"",""45-49"""
"30,""16:43:49"",""Juan-Jose OQUILLAS-GALDOS"",""https://utmb.world/en/runner/124545.juanjose.oquillasgaldos"",""Spain"",""men"",""55-59"""
"31,""16:44:41"",""Pierre EISENHUTH"",""https://utmb.world/en/runner/1519203.pierre.eisenhuth"",""Belgium"",""men"",""20-34"""
"32,""16:55:05"",""Mikel PAZOS"",""https://utmb.world/en/runner/2103275.mikel.pazos"",""Spain"",""men"",""20-34"""
"33,""16:57:18"",""Vicente ROIG-ROSELL"",""https://utmb.world/en/runner/32039.vicente.roigrosell"",""Spain"",""men"",""40-44"""
"34,""16:58:33"",""Juan-Antonio DIOS-MOSEGUE"",""https://utmb.world/en/runner/12156.juanantonio.diosmosegue"",""Spain"",""men"",""40-44"""
"35,""16:59:01"",""Fernando GARCIA-HERNANDEZ"",""https://utmb.world/en/runner/226088.fernando.garciahernandez"",""Spain"",""men"",""20-34"""
"36,""17:00:44"",""Kevin SUAREZ"",""https://utmb.world/en/runner/945139.kevin.suarez"",""Spain"",""men"",""20-34"""
"37,""17:30:08"",""Oihan ARZUA CRESPO"",""https://utmb.world/en/runner/124402.oihan.arzuacrespo"",""Spain"",""men"",""35-39"""
"38,""17:32:16"",""Cedric PUYO"",""https://utmb.world/en/runner/1312363.cedric.puyo"",""France"",""men"",""20-34"""
"39,""17:33:30"",""Tim WOODIER"",""https://utmb.world/en/runner/829909.tim.woodier"",""United Kingdom"",""men"",""35-39"""
"40,""17:35:07"",""Xerach RODRIGUEZ SANTANA"",""https://utmb.world/en/runner/587400.xerach.rodriguezsantana"",""Spain"",""men"",""35-39"""
"41,""17:35:09"",""Jose BORDON"",""https://utmb.world/en/runner/963115.jose.bordon"",""Spain"",""men"",""20-34"""
"42,""17:39:46"",""Jurgen HENDRICKX"",""https://utmb.world/en/runner/596368.jurgen.hendrickx"",""Belgium"",""men"",""20-34"""
