"my-table_cell__z__zN,""my-table_cell__z__zN 2"",""link_link__96ppl"",""link_link__96ppl href"",""my-table_cell__z__zN 3"",""my-table_cell__z__zN 4"",""my-table_cell__z__zN 5"""
"1,""12:25:44"",""Fotis ZISIMOPOULOS"",""https://utmb.world/es/runner/3344339.fotis.zisimopoulos"",""Grecia"",""hombres"",""40-44"""
"2,""12:28:51"",""Yeray DURAN"",""https://utmb.world/es/runner/11756.yeray.duran"",""España"",""hombres"",""45-49"""
"3,""12:31:55"",""Manuel Alexis MARTÍN LORENZO"",""https://utmb.world/es/runner/375547.manuelalexis.martinlorenzo"",""España"",""hombres"",""20-34"""
"4,""13:08:58"",""David LUTZARDO"",""https://utmb.world/es/runner/11750.david.lutzardo"",""España"",""hombres"",""35-39"""
"5,""13:36:00"",""Agustin LUJAN"",""https://utmb.world/es/runner/678463.agustin.lujan"",""España"",""hombres"",""40-44"""
"6,""14:08:20"",""Juan Antonio GONZÁLEZ RODRÍGUEZ"",""https://utmb.world/es/runner/226033.juanantonio.gonzalezrodriguez"",""España"",""hombres"",""45-49"""
"7,""14:16:19"",""Fabio ANDRIOLETTI"",""https://utmb.world/es/runner/2114473.fabio.andrioletti"",""Italia"",""hombres"",""20-34"""
"8,""14:39:51"",""Arcadio ARAUJO"",""https://utmb.world/es/runner/583050.arcadio.araujo"",""España"",""hombres"",""50-54"""
"9,""14:41:38"",""Andrea NORIS"",""https://utmb.world/es/runner/1503049.andrea.noris"",""Italia"",""hombres"",""20-34"""
"10,""14:52:32"",""Yeray MARCHAL-MARÍN"",""https://utmb.world/es/runner/995539.yeray.marchalmarin"",""España"",""hombres"",""20-34"""
"11,""15:14:16"",""Jose Carlos MELO GONZÁLEZ"",""https://utmb.world/es/runner/3731269.josecarlos.melogonzalez"",""España"",""hombres"",""35-39"""
"12,""15:29:25"",""Raul GARCIA MENDOZA"",""https://utmb.world/es/runner/2190595.raul.garciamendoza"",""España"",""hombres"",""40-44"""
"13,""15:29:29"",""Michael BRUHIN"",""https://utmb.world/es/runner/970933.michael.bruhin"",""Suiza"",""hombres"",""20-34"""
"14,""15:39:13"",""Sondre AMDAHL"",""https://utmb.world/es/runner/144485.sondre.amdahl"",""Noruega"",""hombres"",""50-54"""
"15,""15:45:57"",""Nestor ESTUPINAN QUEVEDO"",""https://utmb.world/es/runner/11766.nestor.estupinanquevedo"",""España"",""hombres"",""45-49"""
"16,""15:49:00"",""Rayco GONZALEZ"",""https://utmb.world/es/runner/463250.rayco.gonzalez"",""España"",""hombres"",""35-39"""
"17,""15:53:42"",""Domingo YANES RODRIGUEZ"",""https://utmb.world/es/runner/1469247.domingo.yanesrodriguez"",""España"",""hombres"",""20-34"""
"18,""16:01:34"",""Xabier BERGERA-LEKUONA"",""https://utmb.world/es/runner/476185.xabier.bergeralekuona"",""España"",""hombres"",""20-34"""
"19,""16:03:24"",""Mencey MORALES RUIZ"",""https://utmb.world/es/runner/4097949.mencey.moralesruiz"",""España"",""hombres"",""20-34"""
"20,""16:05:16"",""Mikel ALONSO-CUENDE"",""https://utmb.world/es/runner/728760.mikel.alonsocuende"",""España"",""hombres"",""35-39"""
"21,""16:08:37"",""Juan RAMOS"",""https://utmb.world/es/runner/2096913.juan.ramos"",""España"",""hombres"",""35-39"""
"22,""16:09:30"",""James CARR"",""https://utmb.world/es/runner/3418011.james.carr"",""Reino Unido"",""hombres"",""20-34"""
"23,""16:12:06"",""Oliver NAVARRO-GARCIA"",""https://utmb.world/es/runner/830130.oliver.navarrogarcia"",""España"",""hombres"",""20-34"""
"24,""16:19:54"",""Daniel BARRETO CONCEPCION"",""https://utmb.world/es/runner/12518.daniel.barretoconcepcion"",""España"",""hombres"",""35-39"""
"25,""16:24:00"",""Nina KREISHERR"",""https://utmb.world/es/runner/1113171.nina.kreisherr"",""Alemania"",""mujeres"",""35-39"""
