"my-table_cell__z__zN,""my-table_cell__z__zN 2"",""link_link__96ppl"",""link_link__96ppl href"",""my-table_cell__z__zN 3"",""my-table_cell__z__zN 4"",""my-table_cell__z__zN 5"""
"42,""17:31:16"",""Juan Jose FERNANDEZ REQUEJO"",""https://utmb.world/en/runner/1614133.juanjose.fernandezrequejo"",""Spain"",""men"",""45-49"""
"43,""17:31:42"",""Rafael ROMAGUERA TORRES"",""https://utmb.world/en/runner/4169381.rafael.romagueratorres"",""Spain"",""men"",""40-44"""
"44,""17:34:51"",""Rogelio RUIZ HERNANDEZ"",""https://utmb.world/en/runner/1001895.rogelio.ruizhernandez"",""Spain"",""men"",""40-44"""
"45,""17:36:59"",""Lucas HERNÁNDEZ SESMA"",""https://utmb.world/en/runner/723810.lucas.hernandezsesma"",""Spain"",""men"",""35-39"""
"46,""17:39:53"",""Nauzet GUZMAN-DIAZ"",""https://utmb.world/en/runner/226244.nauzet.guzmandiaz"",""Spain"",""men"",""20-34"""
"47,""17:42:23"",""Sito FRANQUIS SIEIRO"",""https://utmb.world/en/runner/3155791.sito.franquissieiro"",""Spain"",""men"",""35-39"""
"48,""17:42:58"",""Sara PENA"",""https://utmb.world/en/runner/728712.sara.pena"",""Spain"",""women"",""45-49"""
"49,""17:48:58"",""Emilio ALVAREZ CRUZADO"",""https://utmb.world/en/runner/919677.emilio.alvarezcruzado"",""Spain"",""men"",""20-34"""
"50,""17:51:28"",""Fidel MUNIZ BRENES"",""https://utmb.world/en/runner/272906.fidel.munizbrenes"",""Spain"",""men"",""40-44"""
"51,""17:57:02"",""Christian LOPEZ"",""https://utmb.world/en/runner/2096979.christian.lopez"",""Spain"",""men"",""45-49"""
"52,""18:00:56"",""Jan KASPAR"",""https://utmb.world/en/runner/604063.jan.kaspar"",""Czech Republic"",""men"",""40-44"""
"53,""18:01:10"",""Diego NAVAS SOLORZANO"",""https://utmb.world/en/runner/150536.diego.navassolorzano"",""Spain"",""men"",""40-44"""
"54,""18:01:12"",""Gustavo QUINTANA GARCÍA"",""https://utmb.world/en/runner/422995.gustavo.quintanagarcia"",""Spain"",""men"",""45-49"""
"55,""18:01:50"",""Jose Julian LOPEZ TARTILAN"",""https://utmb.world/en/runner/366855.josejulian.lopeztartilan"",""Spain"",""men"",""40-44"""
"56,""18:03:40"",""Roberto HERNÁNDEZ-SANTOS"",""https://utmb.world/en/runner/634841.roberto.hernandezsantos"",""Spain"",""men"",""45-49"""
