"pl,""do"",""tablescraper-selected-row"",""flg src"",""tablescraper-selected-row 2"",""c"",""tablescraper-selected-row 3"",""tp"",""tp 2"",""tp 3"",""tp 4"",""tp 5"",""tp 6"",""tp 7"",""tablescraper-selected-row 4"",""c 2"""
"94.,""109"",""Jordi BAREA VALERO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""GANGUREN MT"",""Hombre"",""VET M"",""3:05:26"",""5:46:07"",""7:36:14"",""8:42:12"",""13:40:53"",""14:41:04"",""16:07:38"",""3,97"",""28"""
"95.,""108"",""Asier GARRETAS URIARTE"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""GANGUREN MT"",""Hombre"",""ABS M"",""3:05:31"",""5:46:09"",""7:37:47"",""8:42:09"",""13:43:03"",""14:40:55"",""16:07:38"",""3,97"",""54"""
"96.,""110"",""Aitor ENDEMAÑO ISASI"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""GANGUREN MT"",""Hombre"",""ABS M"",""3:14:08"",""6:15:01"",""8:08:15"",""9:30:01"",""13:43:16"",""14:39:53"",""16:07:38"",""3,97"",""55"""
"97.,""40"",""Clara DIAZ CINCUNEGUI"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""SAJA ACTIVA"",""Mujer"",""ABS F"",""3:24:20"",""6:22:18"",""8:36:05"",""9:55:35"",""13:35:38"",""14:45:51"",""16:09:37"",""3,96"",""6"""
"98.,""175"",""Acaymo PÉREZ QUEVEDO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ARISTA"",""Hombre"",""ABS M"",""3:41:09"",""6:44:55"",""8:42:27"",""10:01:20"",""13:50:54"",""14:57:06"",""16:23:20"",""3,91"",""56"""
"99.,""166"",""Cristian Enrique SÁNCHEZ BARRETO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""ABS M"",""2:57:18"",""5:52:10"",""7:59:42"",""9:29:59"",""13:36:35"",""14:46:19"",""16:25:14"",""3,90"",""57"""
"100.,""142"",""Carlos ROPERO DIAZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""LOS MATERNUS"",""Hombre"",""ABS M"",""3:33:35"",""6:42:01"",""8:45:00"",""10:05:11"",""13:50:10"",""14:57:58"",""16:26:07"",""3,89"",""58"""
"101.,""106"",""Susanna PRIM CESPEDES"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Mujer"",""VET F"",""3:28:51"",""6:22:37"",""8:24:38"",""9:51:55"",""13:40:35"",""14:56:15"",""16:27:18"",""3,89"",""9"""
"102.,""171"",""Mercedes MELLA GONZÁLEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CLUB ATLETISMO TALAVERA LA REAL"",""Mujer"",""VET F"",""3:34:19"",""6:43:19"",""8:45:12"",""10:04:31"",""13:40:45"",""14:56:45"",""16:27:18"",""3,89"",""10"""
"103.,""107"",""Alberto ARGELAGUET ALONSO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CHATARRA'S TEAM"",""Hombre"",""VET M"",""3:28:46"",""6:22:39"",""8:24:28"",""9:51:53"",""13:40:45"",""14:56:19"",""16:27:19"",""3,89"",""29"""
"104.,""94"",""Eduardo ÁLVAREZ MARTÍN"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""ABS M"",""3:06:15"",""6:19:02"",""8:14:37"",""9:41:32"",""13:50:14"",""14:57:36"",""16:29:06"",""3,88"",""59"""
"105.,""62"",""Olegario PEREZ  GUILLEN"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""VET M"",""3:26:17"",""6:34:38"",""8:40:34"",""10:00:00"",""14:09:52"",""15:12:05"",""16:31:04"",""3,87"",""30"""
"106.,""54"",""Alberto GUTIÉRREZ CID"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""VET M"",""3:41:38"",""6:46:17"",""8:50:03"",""10:10:58"",""13:50:18"",""15:11:37"",""16:36:39"",""3,85"",""31"""
"107.,""43"",""Pedro Pablo POLO ZOYA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""REQUIEBROS Y TROCHAS TRAIL PINTO"",""Hombre"",""ABS M"",""3:29:07"",""6:42:30"",""8:46:25"",""10:04:33"",""13:55:29"",""15:12:28"",""16:41:06"",""3,84"",""60"""
"108.,""57"",""Fabienne CARNAZZOLA"",""https://www.chronorace.es/carreras/flag/24/FR.png"",""US TOUL ATHLETISME"",""Mujer"",""VET F"",""3:30:52"",""6:24:37"",""8:46:09"",""10:06:01"",""13:53:23"",""15:25:40"",""16:53:11"",""3,79"",""11"""
"109.,""87"",""Carlos FERNÁNDEZ MORALES"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ABS M"",""Hombre"",""3,77"",""3:28:29"",""6:24:47"",""8:31:15"",""9:54:33"",""13:46:02"",""15:18:55"",""16:59:36"","""",""61"""
"110.,""97"",""Luis MARTÍN MARRERO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""HTT"",""Hombre"",""VET M"",""3:28:38"",""6:20:47"",""8:22:02"",""9:47:16"",""13:49:00"",""15:16:17"",""17:05:21"",""3,75"",""32"""
"111.,""48"",""Jorge CABRERA RODRÍGUEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""VET M"",""3:27:23"",""6:20:48"",""8:22:22"",""9:47:19"",""13:49:08"",""15:16:22"",""17:05:22"",""3,75"",""33"""
"112.,""160"",""Rodrigo NARDILLO"",""https://www.chronorace.es/carreras/flag/24/AR.png"",""INDEPENDIENTE"",""Hombre"",""VET M"",""3:31:11"",""6:19:11"",""8:31:29"",""9:51:57"",""13:49:37"",""15:22:55"",""17:07:35"",""3,74"",""34"""
"113.,""164"",""David TURCANO"",""https://www.chronorace.es/carreras/flag/24/FR.png"",""TRAIL THE WORLD"",""Hombre"",""VET M"",""3:22:13"",""6:21:27"",""8:38:32"",""10:06:12"",""13:49:42"",""15:22:51"",""17:07:35"",""3,74"",""35"""
"114.,""163"",""Miguel Ángel MONTERO GONZÁLEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""VET M"",""3:22:06"",""6:16:46"",""8:32:32"",""9:54:12"",""14:09:56"",""15:34:44"",""17:13:45"",""3,71"",""36"""
"115.,""81"",""Fernando OJEDA ROMERO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""ABS M"",""3:39:40"",""6:43:06"",""8:52:25"",""10:20:51"",""14:10:44"",""15:34:14"",""17:14:44"",""3,71"",""62"""
"116.,""45"",""Alicia ARROYO GOMEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""VET F"",""Mujer"",""3,70"",""3:44:44"",""6:43:01"",""9:02:49"",""10:20:44"",""14:10:24"",""15:48:31"",""17:17:33"","""",""12"""
"117.,""46"",""Miguel Ángel ESCALERA CASTRO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CD HISPATRAIL"",""Hombre"",""VET M"",""3:44:41"",""6:42:59"",""9:04:30"",""10:20:41"",""14:10:17"",""15:48:34"",""17:17:34"",""3,70"",""37"""
"118.,""25"",""Cesar Alberto FERNANDEZ PEREZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""VET M"",""Hombre"",""3,70"",""3:28:56"",""6:33:48"",""8:54:05"",""10:20:38"",""14:24:46"",""15:48:40"",""17:17:37"","""",""38"""
"119.,""36"",""Alejandro RODRIGUEZ GUILLEN"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ABS M"",""Hombre"",""3,62"",""3:40:03"",""6:58:24"",""9:03:30"",""10:33:39"",""14:37:48"",""15:53:42"",""17:39:57"","""",""63"""
"120.,""158"",""Barbara REYES JIMENEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""HTT"",""Mujer"",""VET F"",""3:34:39"",""6:41:20"",""8:57:50"",""10:24:56"",""14:44:19"",""16:14:12"",""17:53:01"",""3,58"",""13"""
"121.,""88"",""Ricardo HERNÁNDEZ RODRÍGUEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""JAIRA TRAIL"",""Hombre"",""VET M"",""3:39:57"",""7:06:13"",""9:19:54"",""10:55:23"",""15:12:19"",""16:28:39"",""17:53:36"",""3,58"",""39"""
"122.,""152"",""Ani SANCHEZ MORENO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""HTT"",""Mujer"",""ABS F"",""3:34:38"",""6:42:24"",""8:54:08"",""10:24:57"",""14:44:20"",""16:10:25"",""17:55:48"",""3,57"",""7"""
"123.,""120"",""José María PÉREZ GONZÁLEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""PICOCABRA TRAIL"",""Hombre"",""ABS M"",""3:26:27"",""6:26:13"",""8:37:48"",""10:13:58"",""14:37:46"",""15:58:51"",""17:58:49"",""3,56"",""64"""
"124.,""33"",""Alberto VIRUÉS ÁVILA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""VET M"",""Hombre"",""3,55"",""3:49:02"",""7:12:06"",""9:22:48"",""11:01:02"",""15:05:02"",""16:28:29"",""18:00:22"","""",""40"""
"125.,""34"",""Eulalia ÁVILA RUIZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CLUB ATLETISMO DIVINA PASTORA"",""Mujer"",""VET F"",""3:49:02"",""7:12:04"",""9:22:51"",""11:01:03"",""15:05:02"",""16:28:25"",""18:00:30"",""3,55"",""14"""
"126.,""51"",""Arancha PALACIO GONZALEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""SOCIEDAD DEPORTIVA TORRELAVEGA"",""Mujer"",""VET F"",""3:38:00"",""6:56:13"",""9:03:22"",""10:47:14"",""15:09:37"",""16:32:28"",""18:07:39"",""3,53"",""15"""
"127.,""132"",""Eduardo José MANTAS MARTÍN"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CORRECAMINOS TENERIFE TEAM"",""Hombre"",""VET M"",""3:32:56"",""6:48:49"",""8:56:33"",""10:24:35"",""14:40:16"",""16:12:30"",""18:18:17"",""3,50"",""41"""
"128.,""28"",""Angel David PRIETO NAVARRO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CORRECAMINOS TENERIFE TEAM"",""Hombre"",""ABS M"",""3:32:57"",""6:48:47"",""8:57:43"",""10:24:28"",""14:40:16"",""16:12:33"",""18:18:17"",""3,50"",""65"""
"129.,""174"",""Francisco Javier ALVAREZ NUÑEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""ABS M"",""3:24:21"",""6:39:00"",""9:01:19"",""10:28:05"",""15:13:25"",""16:32:31"",""18:26:03"",""3,47"",""66"""
"130.,""61"",""Jose Antonio ALVAREZ MARTIN"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""G.M.LUIS ESPINOSA"",""Hombre"",""VET M"",""3:23:47"",""6:39:37"",""8:47:10"",""10:35:56"",""15:14:37"",""16:42:17"",""18:26:04"",""3,47"",""42"""
"131.,""60"",""Jose Antonio GARABAL GARCIA-TALAVERA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""TENERIFE TRAIL"",""Hombre"",""VET M"",""3:24:27"",""6:39:40"",""8:51:28"",""10:30:53"",""15:13:38"",""16:32:15"",""18:26:04"",""3,47"",""43"""
"132.,""118"",""Stefano MUSCO"",""https://www.chronorace.es/carreras/flag/24/IT.png"",""NISCEMI RUNNING"",""Hombre"",""ABS M"",""3:33:55"",""6:47:25"",""9:19:44"",""10:57:08"",""15:05:51"",""16:51:23"",""18:41:31"",""3,42"",""67"""
"-,""42"",""Silvia BALBONTIN FERNANDEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""VET F"",""Mujer"","""",""3:36:34"","""","""","""","""","""",""Retirado"","""","""""
"-,""167"",""Iñaki MUÑOZ JIMENEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""VET M"",""Hombre"","""",""3:35:26"",""5:05:32"","""","""","""","""",""Retirado"","""","""""
"-,""119"",""José Francisco ALLO MARTIN"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""PICOCABRA TRAIL"",""Hombre"",""ABS M"",""3:27:10"","""","""","""","""","""",""Retirado"","""","""""
"-,""11"",""Alberto PELÁEZ SERRANO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""ABS M"",""2:13:54"",""3:57:29"",""5:15:52"","""","""","""",""Retirado"","""","""""
"-,""153"",""Ivan PEREZ BARRETO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""C.M. EL JABLE"",""Hombre"",""ABS M"",""2:47:41"",""5:05:44"","""","""","""","""",""Retirado"","""","""""
"-,""41"",""Jose Antonio DELGADO RODRIGUEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ABS M"",""Hombre"","""",""2:48:17"",""5:14:52"","""","""","""","""",""Retirado"","""","""""
"-,""83"",""José Manuel RODRÍGUEZ RUIZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""MAGEC TRAIL"",""Hombre"",""VET M"",""2:46:25"",""5:22:36"","""","""","""","""",""Retirado"","""","""""
"-,""4"",""Carmelo GONZALEZ RODRIGUEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CAI GRAN CANARIA"",""Hombre"",""ABS M"",""2:23:37"",""4:09:01"",""5:27:12"","""","""","""",""Retirado"","""","""""
"-,""113"",""Dieter METZ"",""https://www.chronorace.es/carreras/flag/24/DE.png"",""TRIA TEAM DSW DARMSTADT"",""Hombre"",""VET M"",""2:45:40"",""5:57:17"","""","""","""","""",""Retirado"","""","""""
"-,""102"",""Fernando PEREZ CABRERA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""HTT"",""Hombre"",""VET M"",""2:32:57"",""4:30:15"","""","""","""","""",""Retirado"","""","""""
"-,""105"",""Carlos ARAÑA MORENO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""C.D. BICHILLORUNNER CANARIAS"",""Hombre"",""VET M"",""2:40:42"",""5:04:58"",""6:57:13"","""","""","""",""Retirado"","""","""""
"-,""101"",""Jonathan PEREZ CABRERA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""HTT"",""Hombre"",""ABS M"",""2:52:35"","""","""","""","""","""",""Retirado"","""","""""
"-,""136"",""Miguel Angel RODRÍGUEZ MEDINA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ABS M"",""Hombre"","""",""2:53:03"",""5:18:49"",""6:58:04"","""","""","""",""Retirado"","""","""""
"-,""145"",""Alberto MARTIN HERRERA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""VET M"",""Hombre"","""",""4:00:25"",""8:15:06"","""","""","""","""",""Retirado"","""","""""
"-,""147"",""Kiko DUCROS"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""MALLORCA TRAIL"",""Hombre"",""ABS M"",""3:10:28"",""5:39:08"",""7:24:09"",""8:33:24"","""","""",""Retirado"","""","""""
"-,""141"",""John Félix BIGGS GÓMEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""ABS M"",""3:31:15"",""7:05:55"","""","""","""","""",""Retirado"","""","""""
"-,""86"",""Juan José TOLEDO GODOY"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CARUCAT"",""Hombre"",""ABS M"",""3:32:06"",""6:47:33"",""9:02:09"",""10:16:52"","""","""",""Retirado"","""","""""
"-,""78"",""Camille BOUYSSOU"",""https://www.chronorace.es/carreras/flag/24/FR.png"",""NICE MÉTROPOLE ATHLÉTISME"",""Mujer"",""ABS F"",""3:59:01"",""8:04:27"",""10:34:00"","""","""","""",""Retirado"","""","""""
"-,""26"",""Ricardo TURMO ARNAL"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""YEQUEDA RUNNERS"",""Hombre"",""VET M"",""3:41:41"",""6:42:58"",""9:01:23"",""10:47:15"","""","""",""Retirado"","""","""""
"-,""116"",""Manuel Cristofer RODRIGUEZ ROCIO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""ABS M"",""3:49:56"",""7:33:26"",""10:13:19"","""","""","""",""Retirado"","""","""""
"-,""138"",""Juan Miguel HERNANDEZ SANTANA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""VEREDAS"",""Hombre"",""ABS M"",""3:20:39"",""6:13:01"",""8:07:28"",""9:26:29"","""","""",""Retirado"","""","""""
"-,""149"",""Alejandro ORTEGA GARCIA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""MOYACTIVA"",""Hombre"",""ABS M"",""3:23:50"",""6:17:28"",""8:08:41"",""9:23:53"","""","""",""Retirado"","""","""""
"-,""154"",""Yaiza MARTIN RODRÍGUEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""C.M. EL JABLE"",""Mujer"",""ABS F"",""3:24:54"",""6:08:56"",""8:02:57"",""9:18:08"",""12:44:05"","""",""Retirado"","""","""""
"-,""172"",""Armando RIGOLLI"",""https://www.chronorace.es/carreras/flag/24/IT.png"",""ASD LUPID'APPENNINO"",""Hombre"",""VET M"",""3:34:43"",""6:34:36"",""8:35:07"",""9:52:18"","""","""",""Retirado"","""","""""
"-,""49"",""Ancor Jesus RUIZ DEL PINO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""GB NURUTREK"",""Hombre"",""ABS M"",""2:45:37"",""5:03:49"",""6:44:21"",""7:43:07"","""","""",""Retirado"","""","""""
"-,""125"",""Pablo CÓZAR FERNÁNDEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""THE BOX - EL JABLE"",""Hombre"",""ABS M"",""3:01:38"",""5:36:52"",""8:24:09"",""10:28:37"","""","""",""Retirado"","""","""""
"-,""180"",""Francisco MENDOZA MENDOZA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ABS M"",""Hombre"","""",""2:31:26"",""4:20:53"",""5:35:48"",""6:24:33"",""8:49:25"",""9:36:28"",""Retirado"","""","""""
