"pl,""do"",""tablescraper-selected-row"",""flg src"",""tablescraper-selected-row 2"",""c"",""tablescraper-selected-row 3"",""tp"",""tp 2"",""tp 3"",""tp 4"",""tp 5"",""tp 6"",""tp 7"",""tablescraper-selected-row 4"",""c 2"""
"21.,""73"",""Javier VIZCAINO SANCHEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""EL JABLE"",""Hombre"",""ABS M"",""2:47:20"",""4:54:08"",""6:25:22"",""7:24:31"",""10:00:41"",""10:44:09"",""11:43:17"",""5,46"",""18"""
"22.,""148"",""Gerben KROES"",""https://www.chronorace.es/carreras/flag/24/NL.png"",""AV AQUILO"",""Hombre"",""VET M"",""2:53:06"",""4:59:08"",""6:27:15"",""7:25:55"",""10:05:54"",""10:53:09"",""11:49:45"",""5,41"",""4"""
"23.,""168"",""Ana Cristina CONSTANTIN"",""https://www.chronorace.es/carreras/flag/24/RO.png"",""ABS F"",""Mujer"",""5,40"",""2:42:45"",""4:54:45"",""6:27:34"",""7:25:36"",""10:07:42"",""10:55:01"",""11:51:24"","""",""1"""
"24.,""99"",""Félix José SANTANA QUINTANA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""COTRAINER"",""Hombre"",""VET M"",""2:41:32"",""4:50:17"",""6:16:09"",""7:13:24"",""10:05:47"",""10:52:07"",""11:54:32"",""5,37"",""5"""
"25.,""162"",""Juan Francisco GARCÍA GONZÁLEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""FORMA-TRAIL"",""Hombre"",""ABS M"",""2:40:49"",""4:49:51"",""6:15:18"",""7:12:30"",""10:16:52"",""11:00:50"",""12:01:05"",""5,33"",""19"""
"26.,""114"",""David ALVAREZ URIARTE"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""GALDAKAO ATLETISMO TALDEA"",""Hombre"",""ABS M"",""3:05:34"",""5:23:27"",""6:46:46"",""7:39:17"",""10:17:08"",""10:59:06"",""12:02:35"",""5,31"",""20"""
"27.,""92"",""Antoni GARCIA HERNÁNDEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""KABRANKEROS"",""Hombre"",""ABS M"",""2:48:43"",""5:08:43"",""6:48:06"",""7:51:15"",""10:26:44"",""11:10:13"",""12:07:00"",""5,28"",""21"""
"28.,""103"",""Juan Jesus FERNANDEZ MARTIN"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""ABS M"",""2:53:41"",""5:05:16"",""6:37:41"",""7:34:50"",""10:17:04"",""11:03:00"",""12:13:46"",""5,23"",""22"""
"29.,""18"",""Jose Luis BASALO OCHOA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""R.S.E.A PEÑALARA"",""Hombre"",""VET M"",""2:43:05"",""4:56:49"",""6:38:31"",""7:39:48"",""10:29:06"",""11:16:26"",""12:15:58"",""5,22"",""6"""
"30.,""122"",""Enrique BADIA IZQUIERDO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CLUB ATLETISMO FRAGA-BAJO CINCA"",""Hombre"",""VET M"",""2:40:51"",""4:51:16"",""6:26:45"",""7:25:15"",""10:26:14"",""11:12:09"",""12:22:48"",""5,17"",""7"""
"31.,""144"",""Alberto HARO GONZALEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""TRAILXTREM"",""Hombre"",""ABS M"",""2:49:55"",""5:06:07"",""6:40:23"",""7:39:47"",""10:30:01"",""11:18:17"",""12:26:57"",""5,14"",""23"""
"32.,""6"",""Gemma GAME"",""https://www.chronorace.es/carreras/flag/24/GB.png"",""INDEPENDENT"",""Mujer"",""VET F"",""2:56:35"",""5:06:03"",""6:37:57"",""7:38:24"",""10:27:45"",""11:29:05"",""12:29:25"",""5,12"",""1"""
"33.,""121"",""Joaquin FLORENZA VILLAGRASA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CLUB ATLETISMO FRAGA - BAJO CINCA"",""Hombre"",""ABS M"",""2:41:26"",""4:53:04"",""6:29:53"",""7:31:17"",""10:35:04"",""11:24:19"",""12:29:26"",""5,12"",""24"""
"34.,""17"",""Victorio HERNANDEZ RODRIGUEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""BIKILAMANJARO"",""Hombre"",""VET M"",""2:40:41"",""4:55:50"",""6:39:07"",""7:35:31"",""10:40:19"",""11:28:45"",""12:31:42"",""5,11"",""8"""
"35.,""32"",""Wouter KNOCKAERT"",""https://www.chronorace.es/carreras/flag/24/BE.png"",""ABS M"",""Hombre"",""5,11"",""2:54:12"",""5:17:01"",""6:57:58"",""7:57:18"",""10:48:08"",""11:35:06"",""12:31:46"","""",""25"""
"36.,""95"",""Roberto Carlos ACOSTA SANCHEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ABS M"",""Hombre"",""5,10"",""2:50:03"",""5:08:41"",""6:42:38"",""7:43:58"",""10:38:01"",""11:28:48"",""12:32:38"","""",""26"""
"37.,""146"",""Juan Manuel ALVAREZ CORUÑA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""VEREDAS ATAURO"",""Hombre"",""VET M"",""2:39:54"",""4:46:09"",""6:18:55"",""7:26:18"",""10:45:44"",""11:33:18"",""12:37:47"",""5,07"",""9"""
"38.,""13"",""Miriam MORENO CASTILLO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Mujer"",""VET F"",""2:50:10"",""5:08:45"",""6:46:07"",""7:51:28"",""10:48:10"",""11:39:07"",""12:45:34"",""5,02"",""2"""
"39.,""137"",""Francisco Ramón MORALES MEDINA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""MAP TRAIL ESPACIOSALUD"",""Hombre"",""ABS M"",""2:41:49"",""4:58:20"",""6:39:58"",""7:42:29"",""10:51:58"",""11:40:13"",""12:48:01"",""5,00"",""27"""
"40.,""31"",""Jose Luis RUBIO MARTICELLA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""VET M"",""Hombre"",""4,95"",""2:44:42"",""4:56:45"",""6:38:07"",""7:48:57"",""11:04:08"",""11:54:17"",""12:56:27"","""",""10"""
"41.,""59"",""Oliver FALCÓN SANTANA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ACTIVAT TRAIL TEAM"",""Hombre"",""ABS M"",""2:46:15"",""5:07:32"",""6:49:30"",""7:57:12"",""11:10:54"",""11:56:09"",""12:59:44"",""4,92"",""28"""
"42.,""16"",""Nuria PEREZ GARCIA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""SOCIEDAD DEPORTIVA TORRELAVEGA"",""Mujer"",""ABS F"",""3:03:20"",""5:28:02"",""7:07:23"",""8:14:15"",""11:16:04"",""12:00:35"",""13:03:53"",""4,90"",""2"""
"43.,""112"",""Ricardo Javier CASTRILLO PIÑERO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""AIIIIIIIADELANTE TEAM"",""Hombre"",""VET M"",""2:53:22"",""5:24:34"",""7:01:17"",""8:05:33"",""11:05:41"",""11:58:14"",""13:05:09"",""4,89"",""11"""
"44.,""143"",""Juanjo ARTILES MENA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""B-SPORTY"",""Hombre"",""VET M"",""3:05:44"",""5:45:11"",""7:19:54"",""8:26:07"",""11:14:51"",""12:04:00"",""13:08:34"",""4,87"",""12"""
"45.,""9"",""Sandra MORENO SANTIAGO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""C.D. BICHILLORUNNER CANARIAS"",""Mujer"",""VET F"",""3:00:33"",""5:23:30"",""7:05:26"",""8:12:05"",""11:18:52"",""12:06:45"",""13:13:00"",""4,84"",""3"""
"46.,""72"",""Martin FEIGEL"",""https://www.chronorace.es/carreras/flag/24/DE.png"",""LIFEPARKMAX"",""Hombre"",""VET M"",""3:05:57"",""5:27:23"",""7:04:43"",""8:12:41"",""11:06:45"",""12:08:35"",""13:24:56"",""4,77"",""13"""
"47.,""130"",""Jose Eduardo NAVARRO MENDOZA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ADONIEL TRAIL"",""Hombre"",""ABS M"",""2:47:16"",""5:26:08"",""7:11:19"",""8:33:02"",""11:34:59"",""12:22:20"",""13:25:44"",""4,77"",""29"""
"48.,""68"",""Jose David ARMAS PEREZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""C.M. EL JABLE"",""Hombre"",""ABS M"",""3:00:57"",""5:16:32"",""6:55:33"",""8:02:36"",""11:21:46"",""12:16:03"",""13:33:17"",""4,72"",""30"""
"49.,""65"",""Aday GARCIA GARCIA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ABS M"",""Hombre"",""4,72"",""2:43:07"",""5:00:43"",""6:38:52"",""7:49:39"",""11:21:49"",""12:15:53"",""13:33:17"","""",""31"""
"50.,""98"",""Dailos Jesús PERÉZ CABRERA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""C.M. EL JABLE"",""Hombre"",""ABS M"",""2:49:11"",""5:13:22"",""6:56:23"",""8:02:38"",""11:21:43"",""12:15:44"",""13:33:23"",""4,72"",""32"""
"51.,""47"",""Enrique COCAÑA GONZÁLEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""RUNMARC"",""Hombre"",""ABS M"",""3:00:58"",""5:27:34"",""7:13:39"",""8:19:34"",""11:23:00"",""12:25:31"",""13:34:01"",""4,72"",""33"""
"52.,""53"",""Enrique LAGUNA ARIAS"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""ABS M"",""3:04:00"",""5:29:10"",""7:12:30"",""8:21:59"",""11:30:04"",""12:26:05"",""13:36:10"",""4,70"",""34"""
"53.,""90"",""Oscar Luis DORTA PEREZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""MAGEC TRAIL"",""Hombre"",""ABS M"",""2:53:08"",""5:22:34"",""7:13:42"",""8:16:24"",""11:37:15"",""12:33:27"",""13:36:36"",""4,70"",""35"""
"54.,""35"",""Guadalupe María MONROY ESPEJO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ABS F"",""Mujer"",""4,70"",""3:20:19"",""6:02:47"",""7:52:07"",""8:58:56"",""11:51:16"",""12:39:58"",""13:37:28"","""",""3"""
"55.,""71"",""David SEGADE COCHÓN"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ABS M"",""Hombre"",""4,69"",""2:36:34"",""4:46:26"",""6:24:18"",""7:38:50"",""11:18:33"",""12:15:20"",""13:37:54"","""",""36"""
"56.,""79"",""Frederico MARQUES"",""https://www.chronorace.es/carreras/flag/24/PT.png"",""ABS M"",""Hombre"",""4,69"",""3:01:04"",""5:23:34"",""7:11:32"",""8:19:32"",""11:18:32"",""12:15:25"",""13:37:55"","""",""37"""
"57.,""77"",""Manuel MARTÍN LOPEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CD FUERTETRAIL"",""Hombre"",""ABS M"",""2:53:16"",""5:45:31"",""7:21:01"",""8:26:10"",""11:49:54"",""12:43:36"",""13:44:20"",""4,66"",""38"""
"58.,""135"",""Alessandro GIANCANE"",""https://www.chronorace.es/carreras/flag/24/IT.png"",""PV725 - RASCHIANI TRIATHLON PAVESE"",""Hombre"",""VET M"",""2:56:50"",""5:21:35"",""7:11:57"",""8:22:16"",""11:50:16"",""12:47:32"",""13:47:27"",""4,64"",""14"""
"59.,""161"",""Luis MEGIDO CASTELLANO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ABS M"",""Hombre"",""4,58"",""3:23:32"",""5:48:39"",""7:36:00"",""8:47:06"",""12:02:23"",""12:53:21"",""13:59:01"","""",""39"""
"60.,""30"",""Darío HERNANDEZ RODRÍGUEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ABS M"",""Hombre"",""4,54"",""2:54:10"",""6:02:18"",""7:57:06"",""8:57:47"",""12:07:34"",""12:59:24"",""14:04:56"","""",""40"""
"61.,""173"",""Alfia VILARDO"",""https://www.chronorace.es/carreras/flag/24/IT.png"",""ASD LUPI D'APPENNINO"",""Mujer"",""VET F"",""3:24:30"",""6:01:18"",""7:54:13"",""9:03:08"",""12:09:27"",""13:12:57"",""14:19:25"",""4,47"",""4"""
"62.,""84"",""German CONCEPCION RODRIGUEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""MAGEC TRAIL"",""Hombre"",""VET M"",""3:09:54"",""5:44:18"",""7:38:25"",""9:06:23"",""12:16:38"",""13:13:32"",""14:19:30"",""4,47"",""15"""
"63.,""140"",""Vanesa RUIZ BRAVO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""COMANDO SA RIERA"",""Mujer"",""VET F"",""3:05:18"",""5:33:12"",""7:25:15"",""8:42:31"",""12:02:29"",""13:01:23"",""14:21:30"",""4,46"",""5"""
"64.,""24"",""Judith CINCA NEGREIRA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""BLUEISARDS"",""Mujer"",""VET F"",""3:20:18"",""6:02:45"",""7:54:13"",""8:58:58"",""12:03:39"",""13:07:24"",""14:23:02"",""4,45"",""6"""
"65.,""155"",""Frank FISCHER"",""https://www.chronorace.es/carreras/flag/24/DE.png"",""VET M"",""Hombre"",""4,45"",""2:50:33"",""5:22:21"",""7:11:35"",""8:28:40"",""11:59:32"",""13:07:13"",""14:23:35"","""",""16"""
"66.,""179"",""Nicolas Cedril FOULLIE"","""",""ABS M"",""Hombre"",""4,42"",""3:02:01"",""6:09:54"",""7:52:56"",""8:58:46"",""12:17:51"",""13:16:32"",""14:28:30"","""",""41"""
"67.,""69"",""David SANCHEZ CRUZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""GALLOTIA"",""Hombre"",""ABS M"",""3:29:01"",""6:12:18"",""7:59:07"",""9:10:20"",""12:23:56"",""13:21:15"",""14:30:18"",""4,41"",""42"""
"68.,""111"",""María Lucia RODRIGUEZ REBOREDO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""HARIA TRAIL TEAM"",""Mujer"",""ABS F"",""3:28:32"",""6:17:08"",""8:19:22"",""9:31:30"",""12:33:54"",""13:25:31"",""14:31:20"",""4,41"",""4"""
"69.,""128"",""Carlos BALSERA TAMAYO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INDEPENDIENTE"",""Hombre"",""ABS M"",""2:53:59"",""5:23:19"",""7:22:34"",""8:40:27"",""12:23:43"",""13:24:52"",""14:41:54"",""4,35"",""43"""
"70.,""75"",""Jose DOMINGUEZ BERJON"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""VET M"",""Hombre"",""4,29"",""3:11:09"",""5:57:32"",""7:53:26"",""9:12:34"",""12:34:41"",""13:41:31"",""14:54:59"","""",""17"""
"71.,""93"",""Ezequeil MORALES CORREA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CAMBATE LAS PATAS"",""Hombre"",""ABS M"",""3:04:55"",""5:54:35"",""7:41:17"",""8:59:26"",""12:28:25"",""13:30:46"",""14:55:03"",""4,29"",""44"""
"72.,""117"",""Peter HEIMANN"",""https://www.chronorace.es/carreras/flag/24/DE.png"",""TEAM ERDINGER ALKOHOLFREI"",""Hombre"",""VET M"",""3:24:28"",""6:12:07"",""8:02:43"",""9:18:23"",""12:28:18"",""13:31:49"",""14:55:09"",""4,29"",""18"""
"73.,""104"",""Sandra FÄTSCH"",""https://www.chronorace.es/carreras/flag/24/DE.png"",""TSV 1886 KANDEL/ TEAM ERDINGER ALKOHOLFREI"",""Mujer"",""VET F"",""3:10:35"",""5:47:45"",""7:42:48"",""9:02:21"",""12:25:40"",""13:35:14"",""14:55:56"",""4,29"",""7"""
"74.,""63"",""Orlando GONZALEZ LEON"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""B-SPORTY"",""Hombre"",""VET M"",""3:17:34"",""5:58:20"",""7:43:57"",""9:03:04"",""12:27:29"",""13:34:50"",""14:56:45"",""4,28"",""19"""
"75.,""52"",""Alberto VILARROIG IBAÑEZ"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ABS M"",""Hombre"",""4,27"",""3:07:38"",""5:55:11"",""7:50:12"",""8:59:10"",""12:37:35"",""13:38:43"",""14:58:35"","""",""45"""
"76.,""44"",""Walter CARTELLI"",""https://www.chronorace.es/carreras/flag/24/IT.png"",""VET M"",""Hombre"",""4,27"",""3:24:49"",""6:06:14"",""7:55:32"",""9:06:25"",""12:38:01"",""13:41:22"",""14:58:48"","""",""20"""
"77.,""159"",""Jose Ramon QUEIRUGA CALO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""HARIA TRAIL TEAM"",""Hombre"",""ABS M"",""3:29:00"",""6:15:11"",""8:19:22"",""9:31:30"",""12:44:13"",""13:40:12"",""14:59:31"",""4,27"",""46"""
"78.,""165"",""Yurena LEMES REYES"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""INCORPORE SANO"",""Mujer"",""ABS F"",""3:28:59"",""6:15:09"",""8:19:20"",""9:31:29"",""12:44:09"",""13:40:10"",""14:59:31"",""4,27"",""5"""
"79.,""70"",""Julio COBOS BOZA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""A MAS VIENTO MAS CADENA"",""Hombre"",""ABS M"",""3:18:48"",""5:46:26"",""7:34:08"",""8:43:07"",""12:30:07"",""13:36:54"",""15:11:50"",""4,21"",""47"""
